ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Positive,Negative,Overall,Delta
25,"Patch Set 1:Not sure why this build failed, but failed on p2.tests.ui which does not have any direct relation to my changes. But I do see 2 issues in the log. First, a warning from ""comparator"": [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: baseline and build artifacts have same version but different contents[INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml    The main artifact has been replaced with the baseline version.    The following attached artifacts are not present in the baseline and have been removed: [sources]Worse, and perhaps the reason ""ui tests"" failed there was an error message about ** (java:2487): WARNING **: Could not open X displayUnable to init server: Could not connect: Connection refusedPerhaps it was ""too busy""? Or perhaps it is ""misconfigured""?",1,687,2016/11/15 21:33,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,1,-3,-1,-2
26,"Patch Set 1: Code-Review+2> Not sure why this build failed, but failed on p2.tests.ui which > does not have any direct relation to my changes. But I do see 2 > issues in the log. > First, a warning from ""comparator"": > [WARNING] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml: > baseline and build artifacts have same version but different > contents > [INFO] MavenProject: org.eclipse.equinox:org.eclipse.equinox.p2.tests.ui:1.1.200-SNAPSHOT > @ /jobs/genie.equinox/p2-gerrit/workspace/bundles/org.eclipse.equinox.p2.tests.ui/pom.xml > The main artifact has been replaced with the baseline version. > The following attached artifacts are not present in the baseline > and have been removed: [sources] >  > Worse, and perhaps the reason ""ui tests"" failed there was an error > message about >  > ** (java:2487): WARNING **: Could not open X display > Unable to init server: Could not connect: Connection refused >  > Perhaps it was ""too busy""? Or perhaps it is ""misconfigured""?I think it was a intermittent issue of some kind.  I retriggered the build and it passed this time",1,687,2016/11/15 21:56,2016/11/15 19:50,2016/11/15 19:50,0,MERGED,4,8,4,8,1,1,-3,-1,-2
29,"Patch Set 4: Code-Review-1From the test results we can see that reverse debugging is not working in async mode.   Once a test case fails, it finishes leaving a launch configuration running which then cascades to failures in all test cases afterwards as they check for hanging launch configurations just before the execution.",4,689,2016/11/9 2:01,2016/11/2 21:31,2016/11/8 22:00,144,MERGED,7,363,2,4,13,1,-1,0,0
30,"Patch Set 7:Patch set 7, addresses the limitation in GDB where the recording for reverse debugging shall be started when the program is suspended.  This was not a problem with async turned off, as GDB would not process the command until it stopped.",7,689,2016/11/14 14:54,2016/11/2 21:31,2016/11/14 14:48,281,MERGED,16,973,2,4,13,1,-1,0,0
27,Patch Set 8:(11 comments)Nice job!Only minor cleanup that I will fix in a follow-up patch.,8,689,2016/11/15 4:34,2016/11/2 21:31,2016/11/14 15:18,281,MERGED,16,973,3,6,13,3,-1,1,2
28,Patch Set 8:(3 comments)Only one comment added to the non api method (taken from the former interface method)enableReverseModeAtBpLocationThanks for the thorough review and fixes !,8,689,2016/11/15 13:54,2016/11/2 21:31,2016/11/14 15:18,281,MERGED,16,973,3,6,13,2,-1,1,1
31,"Patch Set 9:Alvaro and I discussed the fact that we weren't totally comfortable with the new API in IReverseRunControl2 and wanted more time to think about it.Since we need to commit this patch for RC1, we decided to use the same logic but not make it API just yet.Patchset 9 is an update that removes the new API and makes it package-private instead.",9,689,2016/11/14 21:05,2016/11/2 21:31,2016/11/14 21:02,287,MERGED,15,927,2,4,13,1,-1,0,0
32,"Patch Set 10: Code-Review+1I think we are close enough to go ahead with this.We'll need to fix some of the issues with running async with gdbserver, but we can address this after RC1.  Besides, I think getting the full console is important enough to take this risk.",10,689,2016/11/15 4:40,2016/11/2 21:31,2016/11/15 4:35,295,MERGED,16,788,2,4,13,1,-2,-1,-1
33,Patch Set 11: Code-Review+2 Verified+1Let's go ahead with this one.Getting the full console in all-stop is more important than the slight annoyances we are noticing with async.  We will continue to fix those annoyances.,11,689,2016/11/15 19:06,2016/11/2 21:31,2016/11/15 13:51,304,MERGED,16,805,3,4,13,1,-1,0,0
38,"Patch Set 2:Why trying the new buffering scheme, the last line is not buffered.  This means that the gdb prompt (gdb) does not re-appear when closing and re-opening the Debugger console.  Also, if I start typing something but don't press <enter>, then close the view, then re-open it, what I typed is not shown, but when I press <enter>, what I type is used.That second use-case is not that important, but it would be nice to show the (gdb) prompt if possible.",2,697,2016/10/20 12:52,2016/10/4 2:01,2016/10/7 13:12,83,MERGED,2,268,2,3,11,2,-1,1,1
43,"Patch Set 3:Patch set 3 addresses the issue mentioned on patch set 2, and re-bases to master",3,697,2016/10/25 21:49,2016/10/4 2:01,2016/10/25 21:47,523,MERGED,2,312,2,4,11,1,-1,0,0
34,"Patch Set 4:patch set 4, consolidates the buffer and Remainder in a single synchronized class",4,697,2016/10/26 4:06,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,1,-1,0,0
35,"Patch Set 4:I would like to hear your opinion on the following issue:Looking at the GdbTerminalConnector#WriteHistoryJob,you can see that I am accumulating all the history on a single StringBuilder,and then execute a single write to the OutpuStream,  this populates the console page very fast,if we were to send line by line to the OutpuStream, the user will be able to see the actual writing and scrolling.However the size of the buffer is currently being aligned with the preferences which could grow to2 billion lines.   Having a history buffer of 2 billion lines and then copying it to a StringBuilder is not efficient.Before making any changes I would like to hear your opinion on it,        * Shall we reduce the maximum history buffer ?        * What about using a single instance of StringBuilder and use it to write to the OutputStream in chunks of e.g. 1000 lines,  We can re-use the same StringBuilder instance and set its length to zero at the beginning of each iteration. So making sure the size of the builder does not go beyond the chunk size.        * Any more ideas ?",4,697,2016/10/26 16:39,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,1,-1,0,0
36,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/26 17:05,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,1,-2,-1,-1
37,Patch Set 4:The concern mentioned in patch set 4 is now minimized by limiting the size of the history buffer.   A more robust implementation shall be investigated as a separate story.  In the mean time the user experience would be improved by providing a reasonable size of console history,4,697,2016/10/31 19:21,2016/10/4 2:01,2016/10/26 4:02,530,MERGED,2,367,3,7,11,1,-1,0,0
39,Patch Set 6:While testing this I found something obscure but weird that I thought I'd mention.1- Start a debug session with the full console.2- type a very long line in the new console so that the text wraps (don't press enter)3- close the debugger console4- make the space where the console was significantly bigger5- open the debugger console view=> the text is messed up with the cursor higher up than other texts.  This may be a bug with the widget itself.  I just wanted to document it in case it may be related to a bug in this patch.,6,697,2016/10/31 20:42,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,1,-2,-1,-1
40,"Patch Set 6:The scenario brought by Marc K, on patch 6 and related to the  resizing of the console when there is some input in the buffer but not yet consumed by GDB.    It is indeed a valid problem, however this issue is being uncovered by this implementation and with the combination of actions above.    I suggest we track this scenario as a separate issue.Please comment, Thanks !",6,697,2016/11/3 19:11,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,3,-2,1,1
41,"Patch Set 6:(4 comments)> The scenario brought by Marc K, on patch 6 and related to the  > resizing of the console when there is some input in the buffer but > not yet consumed by GDB. > It is indeed a valid problem, however this issue is being uncovered > by this implementation and with the combination of actions above. > I suggest we track this scenario as a separate issue. >  > Please comment, > Thanks !Ok with me.There are a couple on comments in line that I wrote although I haven't gone deeply in the review",6,697,2016/11/3 19:20,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,3,-2,1,1
42,Patch Set 6:(4 comments)Hi Marc !I have answered the inline comments and the updates are reflected in patch set 7,6,697,2016/11/3 22:06,2016/10/4 2:01,2016/10/31 18:48,664,MERGED,2,394,3,6,11,2,-1,1,1
44,"Patch Set 8: Code-Review-1(6 comments)I think there is still a bit of synchronization needed, but we're almost there.",8,697,2016/11/14 14:39,2016/10/4 2:01,2016/11/14 3:25,985,MERGED,2,427,3,6,11,1,-1,0,0
45,"Patch Set 8:(6 comments)The comments are now addressed in patch set 9, Thanks Marc K!",8,697,2016/11/14 16:37,2016/10/4 2:01,2016/11/14 3:25,985,MERGED,2,427,3,6,11,2,-1,1,1
46,Patch Set 3:This was found by testing with a pure SegmentStoreProvider that was not an analysis,3,698,2016/11/8 1:48,2016/11/7 4:10,2016/11/8 0:35,20,MERGED,1,45,4,7,3,1,-1,0,0
49,"Patch Set 1: Code-Review-1(1 comment)There may still be a race condition here. Consider the sequence: StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If flush() calls interrupt() while run() is in the src.read() call, but src still has more data to read, can the current run() loop break out of the src.read(), perform a partial flush, then loop again to copy the rest of the data, and fail to do a final flush?",1,701,2016/11/4 19:23,2016/11/4 18:48,2016/11/4 18:50,0,MERGED,1,47,4,9,2,1,-1,0,0
50,"Patch Set 1:> There may still be a race condition here. Consider the sequence: > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > flush() calls interrupt() while run() is in the src.read() call, > but src still has more data to read, can the current run() loop > break out of the src.read(), perform a partial flush, then loop > again to copy the rest of the data, and fail to do a final flush?Yes, I think that could happen. czhen and I talked a little about how we want to rewrite this code. I still think this change is an improvement since it avoids the ""Short read of block"" errors. I'll clarify the commit message.",1,701,2016/11/4 19:59,2016/11/4 18:48,2016/11/4 18:50,0,MERGED,1,47,4,9,2,2,-2,-1,0
51,"Patch Set 1:> > There may still be a race condition here. Consider the sequence: > > StreamCopyThread.write(lots_of_data); StreamCopyThread.flush(). If > > flush() calls interrupt() while run() is in the src.read() call, > > but src still has more data to read, can the current run() loop > > break out of the src.read(), perform a partial flush, then loop > > again to copy the rest of the data, and fail to do a final flush? >  > Yes, I think that could happen. czhen and I talked a little about > how we want to rewrite this code. I still think this change is an > improvement since it avoids the ""Short read of block"" errors. I'll > clarify the commit message.On second thought: PipedInputStream.read is not interruptible unless its buffer is empty. If the buffer contains some data, it returns that data without waiting for more.We don't flush until readInterrupted is true. That means we don't flush until the pipe is drained.",1,701,2016/11/4 20:06,2016/11/4 18:48,2016/11/4 18:50,0,MERGED,1,47,4,9,2,2,-2,-1,0
47,"Patch Set 2:If IO is laggy, PipedInputStream could be blocked waiting for data which was recently written. The question is whether a the window between write()/flush() to this class could wake up that blocked read via the flush/interrupt rather than the data that shows up via the write(). If it is impossible, great. There is the chance to miss flushes.",2,701,2016/11/4 20:48,2016/11/4 18:48,2016/11/4 20:00,1,MERGED,1,46,4,7,2,3,-2,1,1
48,"Patch Set 2:> If IO is laggy, PipedInputStream could be blocked waiting for data > which was recently written. The question is whether a the window > between write()/flush() to this class could wake up that blocked > read via the flush/interrupt rather than the data that shows up via > the write(). If it is impossible, great. There is the chance to > miss flushes.Oof, I'm missing the forest for the trees. The interrupt() can happen after a successful read and before the corresponding write. The code if (isInterrupted()) {   continue; }is broken. Luckily it's straightforward to fix: https://git.eclipse.org/r/84513",2,701,2016/11/4 23:04,2016/11/4 18:48,2016/11/4 20:00,1,MERGED,1,46,4,7,2,3,-2,1,1
52,"Patch Set 1:This contribution is over 1000 lines of code and a CQ may be needed[1].Project committers, please confirm if a CQ is needed by replying to this comment (in Gerrit), leaving the quote intact, and Genie will automagically create a CQ.[1] https://eclipse.org/legal/EclipseLegalProcessPoster.pdf.-genie:cq",1,706,2016/10/29 9:31,2016/10/29 9:28,2016/10/29 9:28,0,MERGED,174,4204,3,5,3,1,-1,0,0
53,Patch Set 1: Code-Review-1Please use SubMonitor.convert and the Split method to demonstrate good practice,1,709,2016/11/1 17:59,2016/11/1 16:52,2016/11/1 17:34,0,MERGED,3,116,3,4,8,1,-1,0,0
55,Patch Set 3:(4 comments)We still need a bug report and the current commit header pointing to this bug report.,3,709,2016/11/2 21:22,2016/11/1 16:52,2016/11/2 21:14,28,MERGED,4,274,2,4,8,1,-2,-1,-1
54,Project policy requires all submissions to be a fast-forward.Please rebase the change locally and upload again for review.,6,709,2016/11/2 22:05,2016/11/1 16:52,2016/11/2 22:04,29,MERGED,4,274,3,5,8,1,-1,0,0
59,Patch Set 1: Code-Review+1Cocoa build is OK with this change and the binary is still working as expected.,1,712,2016/10/4 14:21,2016/10/4 9:52,2016/10/4 9:52,0,MERGED,28,1909,3,5,8,1,-1,0,0
56,"Patch Set 3: Code-Review+2 Verified+1I'm wondering if the Ng* files can also be actually removed, we don't seem to be building them at all...",3,712,2016/10/18 18:37,2016/10/4 9:52,2016/10/18 17:48,343,MERGED,28,1909,3,5,8,1,-1,0,0
57,"Patch Set 3:> I'm wondering if the Ng* files can also be actually removed, we > don't seem to be building them at all...Look at make_cocoa.mak line 74. They are actually compiled.",3,712,2016/10/19 17:43,2016/10/4 9:52,2016/10/18 17:48,343,MERGED,28,1909,3,5,8,1,-1,0,0
58,"Patch Set 4:> > I'm wondering if the Ng* files can also be actually removed, we > > don't seem to be building them at all... >  > Look at make_cocoa.mak line 74. They are actually compiled.I did notice those targets in make_cocoa.mak but what I meant was that we can probably get rid of those too as those targets don't seem to be really invoked. See line 32 of the same makefile where the targets are commented out and I've never seen them being built myself.",4,712,2016/10/25 14:59,2016/10/4 9:52,2016/10/21 11:37,409,MERGED,28,1909,3,4,8,1,-2,-1,-1
60,"Patch Set 1:This contribution is over 1000 lines of code and a CQ may be needed[1].Project committers, please confirm if a CQ is needed by replying to this comment (in Gerrit), leaving the quote intact, and Genie will automagically create a CQ.[1] https://eclipse.org/legal/EclipseLegalProcessPoster.pdf.-genie:cq",1,713,2016/10/24 16:00,2016/10/24 15:58,2016/10/24 15:58,0,MERGED,17,2723,3,4,5,1,-1,0,0
61,Patch Set 4:sorry about the last two patches I tried something out of desperation but without my brain switched on...,4,725,2016/11/2 19:47,2016/11/2 16:23,2016/11/2 19:46,3,MERGED,1,5,2,5,6,1,-3,-1,-2
63,"Patch Set 1:This patch was just created to share information, but one key item missing from the patch is that it does not change the default value of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE in GdbPreferenceInitializer.",1,726,2016/10/19 13:00,2016/10/17 15:10,2016/10/18 20:43,29,MERGED,4,113,3,5,7,1,-1,0,0
64,"Patch Set 1: Code-Review-2> This patch was just created to share information, but one key item > missing from the patch is that it does not change the default value > of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE > in GdbPreferenceInitializer.Woops, that is actually a over-site on my part.  In my testing, I turn on and off and forgot to set the initializer!  Thanks for noticing.",1,726,2016/10/19 13:55,2016/10/17 15:10,2016/10/18 20:43,29,MERGED,4,113,3,5,7,2,-1,1,1
62,"Patch Set 5:Jonah, since you have already had a quick look, would you have the time to review this?  I'm hoping to have it for 9.2 if possible.",5,726,2016/10/31 18:22,2016/10/17 15:10,2016/10/26 15:45,216,MERGED,5,130,3,6,7,2,-1,1,1
66,"Patch Set 2:Simon, I've rebased this review to trigger another review verification build.  Feel free to revert to the previous patch-set if that makes sense.",2,733,2016/7/11 22:34,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,1,-1,0,0
67,Patch Set 2:> Would be create the have the option to jump to an included fileSimon told me that this comment is hard to parse. I wanted to say that I would appreciate if David could review this and merge if it sufficient.,2,733,2016/7/15 7:48,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,1,-1,0,0
68,"Patch Set 2: Code-Review+1Simon, can you remove the dependency to the other commit? I think it is not necessary.David, could you review this? This would be extremely helpful during my documentation work?",2,733,2016/8/30 10:22,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,4,-1,1,3
69,"Patch Set 2:It is not a dependency, but ""only"" a conflict, which I am going to resolve once one of the 2 patches are merged",2,733,2016/8/30 10:31,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,2,-2,-1,0
70,"Patch Set 2:David, can you give feedback on this change? Would be very nice to have hyperlinking for Asccidoc",2,733,2016/9/19 10:01,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,3,-1,1,2
71,"Patch Set 2: Code-Review+1(9 comments)Looks good.  Apologies for the delay.  I would have liked to get to this one sooner, but it's been really busy.I've made some suggestions inline.",2,733,2016/9/28 23:13,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,3,-1,1,2
72,Patch Set 2:(8 comments)Ok the only thing that's left are some tests.I'll add them later on.,2,733,2016/9/29 17:17,2016/7/8 8:40,2016/7/11 22:32,85,MERGED,9,496,4,10,10,1,-1,0,0
75,Patch Set 4:Now I've also added 3 tests for the FileRefHyperlink detector and resolved the other issues.,4,733,2016/9/30 7:12,2016/7/8 8:40,2016/9/30 7:03,2014,MERGED,11,679,3,6,10,2,-1,1,1
65,"Patch Set 5:Hi David,would be nice if you could review my latest changes. I┬┤d love to make use of this feature during ""asciidocing"" ;-)",5,733,2016/10/14 19:20,2016/7/8 8:40,2016/10/14 19:18,2362,MERGED,11,679,3,6,10,2,-1,1,1
74,"Patch Set 6:In the latest patch set I removed the api filters and just implemented the ITextViewer interface, which leads to a pretty long static inner class in the test, but allows us to omit the api filter file.What do you prefer?",6,733,2016/10/18 23:22,2016/7/8 8:40,2016/10/18 23:19,2462,MERGED,10,932,3,5,10,1,-2,-1,-1
73,"Patch Set 7:Didn┬┤t knew whether I am allowed to use mockito, since there was no dependency to it in the MANIFEST of the test bundle, yet.I┬┤ve now added mockito and adjusted my test code.",7,733,2016/10/19 13:05,2016/7/8 8:40,2016/10/19 13:04,2476,MERGED,11,670,3,7,10,1,-1,0,0
