ID,Overall,Text
515,1,"Patch Set 3:vmiklos: I was planning to re-enable that code once the flip switches for the default to be true, and not false.  That's why I left in that line of code. I thought it would be better to leave all of this compat code in than to rip it all out just to find out that compat is needed for some reason.  There is a TON of code that could be removed if one really wants to strip all of this ""require a border"" code.  But that sounds like a LO5.6 task.The first patch in 5.4 will be one with this comment:tdf41542 globally allow padding without borders: UIThis is the primary fix for tdf#41542 - enabling the UI to adjust thepadding without requiring an enabled border line.  This effectively changesALLOW_PADDING_WITHOUT_BORDERS into a preventative compatibility settinginstead of an enabling one.If an AllowPaddingWithoutBorders=false case is ever found, additional codewill be needed to send the SID_ALLOW_PADDING_WITHOUT_BORDERS setting foreach type of border (page, paragraph, image etc). It currently is only setupfor frames. see commit f013d4a1f4073cda735befd6e446bee35f3db65cThat patch will remove out the comment and add back in the commented out code."
516,1,"Patch Set 1: Code-Review-1Not just, the import-export-import fails ODF validation, but so does the original document.  tdf41542_borderlessPadding2.odt/styles.xml[2,12457]: Error: unexpected attribute ""draw:fill"" from http://odf-validator.rhcloud.com/.  Looking into whether this is caused by my code, or whether it comes from something else."
520,0,Patch Set 1: Code-Review+2Makes sense for now I think =) Quikee - need to revert that as/when we fix the SVG icons issue (later).Thanks Jan-Marek !
557,1,Patch Set 3:clang failure is unrelated.
671,0,Patch Set 8: Code-Review+2 Verified+1Congratulation :-)I'm pushing this to master. Could you please add the new feature to the release notes under https://wiki.documentfoundation.org/ReleaseNotes/5.3#Calc preferably with a screen shot showing the dialog? Thanks.
675,1,"Patch Set 3: Code-Review-1(2 comments)Seems to work in general, good.However, having searched for a string, clicking on a function name in the result list does not visually select it anymore, or double clicking sometimes selects it and sometimes it doesn't even if the corresponding arguments for the function are displayed. Sometimes, if a function was selected, it stays selected even if a different function then was double clicked to use it in an argument.This needs some further work."
677,0,"Patch Set 1:Samuel & Eike Easy-hackized this, can one of you check if you are happy with the impl, please? :-)"
679,1,Patch Set 5:(4 comments)I'll update this change with another patch that addresses the problems.
700,1,Patch Set 1: Code-Review+2 Verified+1Windows Jenkin build Python error is unrelated.
705,0,Patch Set 1: Verified+1Nice cleanup as well - love it =)
728,1,Patch Set 1: Verified+1windows failure unrelatedsome problem with LD_LIBRARY_PATH
729,0,"Patch Set 1:(1 comment)it looks like the entire purpose of SfxUShortRanges is just for that merge in itemset.cxxIt would probably be much cleaner to just delete SfxUShortRanges and move the merge algorithm to itemset.cxxThen in a later patch, update itemset.cxx to use a std::vector<std::pair<>> and simplify the merge algorithm using your new codeUnless there is another plan that I am not aware of? :-)Anyhow, nice work, glad to have you hacking on this"
748,0,Patch Set 3: Code-Review-1but that check in the dtor was quite valuable because it warned us if something went wrong with our refcounting
782,1,Patch Set 1:pdfdocument.cxx(1148) : error C2057: expected constant expression -> fixing
786,1,Patch Set 1:Windows failure is unrelated.
792,0,Patch Set 2:Would be good to have an automated test case for this as well.
809,0,Patch Set 3: Verified+1No objections in the ESC; we should prolly axe Type1 fonts too I guess (if we find them).Thanks Khaled !
815,1,Patch Set 1: Code-Review+1Sounds very sensible to me in concept; the AbstractDialog stuff was always a bit awful in this regard when migrating it - would be cleaner and more pleasant. Havn't read the code change though ... =)
816,0,"Patch Set 1:> cleaner and more pleasant. Havn't read the code change though ... > =)Thanks.Are you OK with the virtual base stuff? Read just the include/vcl part of the patch to see that.Personally, I don't think it'll make any performance difference, but maybe my intuition is off?"
817,1,"Patch Set 1:Also, if this is acceptable, there are an awful lot of little wrapper classes we can discard."
818,1,"Patch Set 1:Urk - using virtual inheritance for all of the OutputDevice ref and unref calls ... like this:class VCL_DLLPUBLIC OutputDevice : public virtual VclReferenceBaseI assume that this will then put all those nice previously in-lined, and optimize-able out mnRefCnt++ and -- pairs behind virtual function calls. But of course - we could look at the generated code to see if it in fact it is that awful ;-)What's the stripped binary size increase would be a good question."
822,0,Patch Set 1:If it continues to be efficient - then I'm fine with it =) lets get it in and hope ...Thanks !
824,0,"Patch Set 13:Hi Noel, there are still lots of AbstractDialogs wrapped into unique_ptr, which all crash now. Could you please take a look? Thanks."
825,0,"Patch Set 13:> Hi Noel, there are still lots of AbstractDialogs wrapped into > unique_ptr, which all crash now. Could you please take a look? > Thanks.fixed in 09cb92096919e5a7bf4cf5fe66689e312ebc7f9c"
835,0,"Patch Set 2:The 2 spaces was in another file :-) please always look at the existing lines, and continue that style"
845,1,Patch Set 1: Verified+1Lets get it in - unlikely to do any harm - this is an optimization; but whether the optimization still works - that is unclear to me from a quick skim - we need a unit test here.
853,0,Patch Set 1:(1 comment)Thanks for the review!
877,1,"Patch Set 1:Tested with Excel Online (ods, xls and xlsx) with 1, 2, 3 and 4 arguments entered in Calc.As expected, only xls produced an error in case of 4 arguments."
881,1,"Patch Set 3:I did notice the #N/A error in xls, but saw that as unavoidable as xls does not support LOGNORMDIST with 4 arguments.I could try to remove the 4th argument when not needed, but otherwise I see no solution; or should I convert to LOGNORM.DIST in these cases to preserve the formula?"
882,1,"Patch Set 3:> I did notice the #N/A error in xls, but saw that as unavoidable as > xls does not support LOGNORMDIST with 4 arguments. > I could try to remove the 4th argument when not needed, but > otherwise I see no solution; or should I convert to LOGNORM.DIST in > these cases to preserve the formula?Should be converted to LOGNORM.DIST, not removing arguments. Not sure at the moment how substituting with another function operator could be accomplished though, probably somewhere in sc/source/filter/excel/xeformula.cxx around XclExpFmlaCompImpl::ProcessFunction()"
885,0,"Patch Set 2:This I don't understand.A new document with LOGNORMDIST(a)LOGNORMDIST(a,b)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c,d)is saved as ods asLOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c,d)and saved as xlsx asLOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORM.DIST(a,b,c,d), just as I intended.Opening these saved documents with Excel produces for the ods:LOGNORM.DIST(a,b,c,d)LOGNORM.DIST(a,b,c,d)LOGNORM.DIST(a,b,c,d)LOGNORM.DIST(a,b,c,d)and for the xlsx:LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c)LOGNORMDIST(a,b,c,d)which IMHO shows that the conversions done by Calc are OK and that Excel cannot handle ODF documents well.Could you explain what is not good yet with this patch set?To me the backward compatibility for LOGNORMDIST within Calc is preserved (concerning the now optional last 3 arguments) and the interoperability with Excel is taken care of."
886,1,"Patch Set 2: Code-Review+2 Verified+1I don't know what happened. I updated my master build and applied this patch again and now it works. Sorry for fuzz.One thing remains, saving LOGNORMDIST(a,b,c,d) to BIFF .xls and reloading results in =NA(), probably because only 3 parameters are registered and we'd need to do the function rewrite there as well."
887,0,Patch Set 1: Code-Review+1(2 comments)Looks good. A couple of minor things and merge please.
891,0,"Patch Set 5: Code-Review+2this is curious, what does BUILD_OPT do exactly?wow, nothing gets built with optimization without that being set? that's unusual...i think we should set it on all platforms then, not just Linux.apparently it's currently only used when $(COM)=MSC"
893,1,"Patch Set 6:> > i think we should set it on all platforms then, not just Linux. >  > and why is it triggered on --enable-dbgutil only, not also > --enable-debug?good question, apparently we are somewhat inconsistent with that in external/ right now..."
898,1,"Patch Set 1:Thank you for your review.> However I decided against it, since reading configuration on every repaint brings some performance penaltyI see, just wondered if the performance penalty is really severe or not.What we want then would be to derive utl::ConfigurationListener andprovide a suitable ConfigurationChanged( ::utl::ConfigurationBroadcaster*, sal_uInt32 ),as in Calc's ScModule (ScModule::ConfigurationChanged() in sc/source/ui/app/scmod.cxx)and Writer's SwModule (SwModule::ConfigurationChanged in sw/source/uibase/app/apphdl.cxx), etc.Right?"
899,1,"Patch Set 1:> > However I decided against it, since reading configuration on > every repaint brings some performance penalty >  > I see, just wondered if the performance penalty is really severe or > not. I didn't observe any slowdown myself, but that doesn't mean that other people wouldn't, who knows what they do with their office :) e.g. this blogpost explains why are frequent configuration readings a bad idea: https://mmohrhard.wordpress.com/2015/10/07/short-update-about-the-performance-testing/ > What we want then would be to derive utl::ConfigurationListener and > provide a suitable ConfigurationChanged( ::utl::ConfigurationBroadcaster*, > sal_uInt32 ), > as in Calc's ScModule (ScModule::ConfigurationChanged() in > sc/source/ui/app/scmod.cxx) > and Writer's SwModule (SwModule::ConfigurationChanged in > sw/source/uibase/app/apphdl.cxx), etc. > Right?Aye, that's exactly what I meant :)"
904,1,"Patch Set 5:> knowing that such moves tend to cause regressions, I'd leave it alone :)Sounds reasonable, thanks."
906,1,"Patch Set 2:I'm puzzled as to why you ran into loplugin:passstuffbyref there, given PassStuffByRef::isFat (compilerplugins/clang/passstuffbyref.cxx)---arbitrarily---thresholds on an object size of >= 64 bytes, and webdav_ucp::DAVOptions (ucb/source/ucp/webdav-neon/DAVTypes.hxx) should be smaller (or did you temporarily add members to that class?, that would explain it)"
954,0,"Patch Set 7: Code-Review+1 Verified+1Made a short test, looks good.Looked at the code looks good."
964,0,Patch Set 1: Code-Review+1Lovely fix - thanks Eike =)
972,0,Patch Set 2: Code-Review+2 Verified+1Thanks ! =)
973,0,Patch Set 1: Code-Review+2 Verified+1Looks very sensible to me - thanks Tomaz.
986,0,"Patch Set 1: Code-Review+2Next time feel free to also backport the testcase, that helps especially if you have to resolve conflicts during backport. :-)"
987,1,"Patch Set 2:I didn't bother backporting the test this time because it was put in the new ww8export2, and I didn't think mis-matching ww8export(1) was worth-while.  I generally plan to backport the tests also (since this isn't the first time you've slapped my wrist about this :-)Thanks for always reviewing my patches."
993,1,"Patch Set 4:> (1 comment)Well it is a pretty big width, if bigger than an int :-)But anyhow, I have reverted that file in 30259, and commented the file to prevent future changes."
1007,1,"Patch Set 4:Scrapped the change in TransliterationImpl, it's unnecessary if the change in TransliterationWrapper works out."
1009,0,Patch Set 4:(1 comment)Thank you for the feedback!
1010,0,"Patch Set 6:(1 comment)Thanks.Might be worth to investigate where other calls to ScGlobal::GetpTransliteration()->transliterate() (and ScGlobal::GetCaseTransliteration()->transliterate()) using ScGlobal::eLnge exist, that would benefit from an already resolved system locale as well in order to minimize having to treat switching locales in the wrapper."
1022,1,"Patch Set 2:Oups, considering gerrit failure, I thought it wouldn't work.Sorry for the noise."
1028,1,"Patch Set 3:You are probably right.Whith this I tried to overcome a probably wrong exception processing here:<http://opengrok.libreoffice.org/xref/core/unotools/source/ucbhelper/ucbhelper.cxx#332>Where there is a css::uno::RuntimeException if the DataTime property is NULL, hence closing LO, badly.Probably rewriting the client code would be better?Rearranging it a bit should suffice."
1030,0,"Patch Set 2:Added backward compatibility for Calc. Hadn't thought about that, thanks for noticing."
1032,0,"Patch Set 2:I don't know what happened, I still have the test exports (saved to xls, xlsx and ods) on my computer. I somehow must have messed up old and new versions of the change..Anyway, I added the missing lines to IsRewriteNeeded for MissingConventionODF and MissingConventionOOXML and tested again.Will upload new patch set."
1035,0,"Patch Set 3:Seems to work, great :)I just find the placement of the new checkbox a bit unfortunate, it looks as if it was related/connected to the Language listbox. I think a better placement would be after ""Enable natural sort""."
1038,1,"Patch Set 3:>  Any objections to remove the locale check?No.Originally I put the locale check for preventing incompatible changes ofexisting documents except in Japanese locale.But now the concern feels like negligible, because existing usage of GGG(for the era name of gregorian calendar) is not demanding unless the datain cells ranges from BC to AD.Let me upload a revised patch soon. Thanks."
1042,0,"Patch Set 2: Code-Review+1Miklos: I tried to cleanup the .mk file a bit so that I didn't start off the new file with the stuff that seemed like ""junk"".  The old one is relatively full (just under 70 tests) after moving lots from ww8import, so it seems like a good time to start a new one."
1088,1,"Patch Set 1:Please start doing actual code changes.typos are of course wrong, but these type of patches, makes it harder to see actual code changes...and often (as is the case right now your patch cannot be merged, because someone changed in the 1 of the same files.Looking forward to see real patches from you"
1090,0,"Patch Set 2: Code-Review+2 Verified+1I am merging this patch, but as I wrote earlier, you now know the process of submitting patches etc. so please select a easyhack to solve.Patches are very welcome, but typo patches is only interesting for learning the process, so further patches of this type (typos that has no effect on the code), will not be accepted."
1108,0,"Patch Set 2:> As far as I understand, the ""++p"" is handled as part of the ""for"" > statement. Same goes for the exit condition. That said, I may be > rong. Can you point me to an appropriate place to write a unit test > ?the for statement handles ++p in general but the existing code, test for the case where p points to a string that only contains "" in that case pElem is untouched. But I have not debugged your patch, which would give the interesting cases.unittest is in chart2/qa/unit"
1109,0,Patch Set 3:I've added a couple of non-trivial unit tests to cover most of this function. I've not seen any issues with the new code. Does it look good to you ?
1110,1,"Patch Set 3: Code-Review+2 Verified+1Patch look good (the windows failure is different).Adding the test case moves assumption to proof, that is the way to go."
1122,1,Patch Set 2:This a rather blind fix as I can脭脟脰t test it since OpenGL does not work on my setup (LibreOffice won脭脟脰t even show up at all if I force enable OpenGL).
1130,0,"Patch Set 1: Code-Review+1 Verified+1A needed change, thanks for that Tomaz!"
1132,1,Patch Set 1: Code-Review+2 Verified+1Very sensible - it is risk to initialize that thing if we don't need to - seen crasher bugs from that.
1145,1,"Patch Set 2:* Delete is active only when my cursor is above the upper border of the button (and when a custom color is selected)* After pressing alt+D the button the color is deleted but the button remains in focused state (blue in case of Breeze)* Add (to custom color) is lost* Having ""Custom Color [Delete]"" is misleading in case of standard palette, for instance; also the names are not identical* The ui jumps when sections are switched=> My preference is a tooltip explaining why Delete is disabled - unless a custom color is selected"
1216,0,"Patch Set 1:And in the future, put me in as reviewer, then you will not have to wait 1 month to see it in master :-)"
1235,1,"Patch Set 2:> Was the perfect bug to use as exercise in a workshop with students! > Couldn't pass up, sorry :)Sure, no worries."
1240,0,Patch Set 2:> > So agreed to remove leave it out for non-linux builds? > @Ashod: who was this question directed to?@Jay: you :)
1243,0,"Patch Set 1:Think 'VCL:' is sufficient, like we have 'Calc:' as it aint gonna be useful to users, just to QA. :D"
1245,1,"Patch Set 1:(2 comments)> Beat me to it :). > I've got comments, though.Was the perfect bug to use as exercise in a workshop with students! Couldn't pass up, sorry :)"
1246,1,Patch Set 4:@Ashod: thanks for the work@Meeks: would be good to backport this to 5.2 which will soon become the stable branch
1248,0,Patch Set 3:> @Jay: you :)Yes like my last comment said :D
1249,1,Patch Set 3:> > @Jay: you :) > Yes like my last comment said :DUpdated to exclude on non-linux.
1251,0,"Patch Set 3:> Looks great to me. Do we need 'VCL' to be translatable?It currently is done in the same way all other strings in the dialog are (i.e. translatable). But practically it probably never will. Just did it this way for consistency and, well, just in case."
1271,0,Patch Set 4:Nice :)
1276,1,Patch Set 1:Did you test build locally ? your change fails due to an invalid '<' http://ci.libreoffice.org/job/lo_gerrit/1537/Config=linux_clang_dbgutil_64/console
1279,0,"Patch Set 3:I really hope I did it right this time. I need those comments but if build test fail this time, I'll remove them completely. Thank you for your time and patience."
1282,0,"Patch Set 3: Code-Review+2 Verified+1Builds locally (build breaker on master), and it looks good"
1307,0,"Patch Set 1: Verified+1if bjorn agrees, i'm fine with it, though it is just taking up space in git and not actually something we are building or shipping."
1327,0,Patch Set 1: Code-Review+2 Verified+1Looks good.
1339,0,Patch Set 1: Code-Review+2 Verified+1Looks good
1341,0,Patch Set 1: Code-Review+2 Verified+1Look good.
1350,1,"Patch Set 1: Code-Review+1Late but still worth doing at 5.1.6Auto-correct styling of leading ' disrupting input of numerical strings as text. Working well on master and for 5.2, minimal risk."
