ID,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,PREDICTED
372,Change has been successfully cherry-picked as 8ef2262b0fcaf5b77f6644bf46409a50e3e76ff7 by Markus Mohrhard,1,437,2016-11-01 14:44:06,2016-11-01 14:44:06,0,MERGED,1.0,1270.0,4,5,1,positive
385,Change has been successfully cherry-picked as 67e385ac8dfd804015c8b6199865b71ab6e927b4 by Justin Luth,2,450,2016-11-02 07:13:49,2016-11-05 04:19:34,69,MERGED,7.0,24.0,2,3,2,positive
387,Change has been successfully cherry-picked as 570e8488b5cee5cc4c931c3468490acd6cab27cf by Justin Luth,1,451,2016-11-04 14:07:03,2016-11-04 21:48:50,7,MERGED,6.0,17.0,3,5,1,positive
388,Change has been successfully cherry-picked as 6984fd5a756f1e01e94da14f01df5a0e20791630 by Takeshi Abe,2,452,2016-11-04 03:21:04,2016-11-04 08:05:20,4,MERGED,1.0,2.0,3,4,2,positive
389,Change has been successfully cherry-picked as 239b662753bee4148cac51268cb203c7527036be by Takeshi Abe,2,453,2016-11-04 03:15:06,2016-11-04 08:04:46,4,MERGED,1.0,2.0,3,4,2,positive
394,Change has been successfully pushed.,3,458,2016-11-03 16:23:56,2016-11-04 15:22:23,22,MERGED,1.0,4.0,2,4,3,positive
395,Patch Set 2: Code-Review+2 Verified+1Ah - the joys of code review =) quite right; thanks for that Noel !,2,459,2016-11-04 09:46:29,2016-11-04 13:25:47,3,MERGED,1.0,6.0,3,5,2,positive
408,Patch Set 1: Code-Review+1 Verified+1seems to work on osx,1,469,2016-10-14 13:37:48,2016-11-04 07:19:45,497,MERGED,1.0,5.0,5,6,1,positive
412,"Patch Set 5: Code-Review+1 Verified+1Only comment removal and commit edit, so previous jenkins +1 should apply",5,472,2016-10-31 08:59:09,2016-11-03 07:16:58,70,MERGED,3.0,14.0,3,4,5,positive
428,Change has been successfully cherry-picked as d17d148880a4fc4f491b979a2207a05fca18ba8b by Ashod Nakashian,2,483,2016-11-04 04:50:51,2016-11-04 05:09:12,0,MERGED,2.0,18.0,2,3,2,positive
429,Change has been successfully cherry-picked as b6fae38f17078b3e9b1b6dc267e5402ecc5d7b2f by Ashod Nakashian,2,484,2016-11-04 04:30:27,2016-11-04 05:09:12,0,MERGED,1.0,21.0,2,3,2,positive
439,Change has been successfully cherry-picked as ae8226a2166d6a25dd5b711b0f004ad5da1ba90e by Caol├ín McNamara,1,494,2016-10-19 13:27:26,2016-10-19 13:27:26,0,MERGED,1.0,2.0,4,5,1,positive
440,Patch Set 1: Code-Review+1with both commits 30526 and this one building LO 5.2 succeeds.,1,495,2016-11-03 12:14:42,2016-11-03 12:26:40,0,MERGED,1.0,4.0,5,6,1,positive
447,Change has been successfully pushed.,2,500,2016-11-03 11:21:37,2016-11-03 13:25:12,2,MERGED,1.0,4.0,2,4,2,positive
452,Change has been successfully cherry-picked as e509c22863b5184421e710cf8ae81e2ddc961623 by Samuel Mehrbrodt,8,505,2016-11-02 09:26:39,2016-11-03 10:26:15,24,MERGED,11.0,283.0,3,5,8,positive
454,Change has been successfully cherry-picked as 291d8d4f9460f8d5292cab2ef706fd8b501641b4 by Samuel Mehrbrodt,2,507,2016-11-03 08:26:02,2016-11-03 10:26:21,2,MERGED,4.0,15.0,3,5,2,positive
464,Change has been successfully cherry-picked as e4669faa6835796267490efe906f0bd8355f6a50 by jan iversen,3,517,2016-09-02 11:52:23,2016-10-03 09:01:46,741,MERGED,1.0,2.0,4,6,3,positive
465,Change has been successfully cherry-picked as f2bc1a61f6df66848ecb073a97b6b22fa469ef4d by Adolfo Jayme Barrientos,1,518,2016-10-23 16:08:02,2016-10-23 16:10:49,0,MERGED,1.0,2.0,4,5,1,positive
508,Change has been successfully cherry-picked as 8826771e8398063018935c38039c05faf4c993a3 by Jochen Nitschke,1,556,2016-11-01 10:44:15,2016-11-01 11:11:52,0,MERGED,28.0,70.0,3,5,1,positive
536,"Patch Set 1:I guess I'm lacking context here:* the "":)"" in the commit msg puzzles me* any reason you picked me specifically for review?  (there might well be one, but I can't remember ever been involved with that code)",1,580,2016-10-30 07:05:55,2016-10-30 07:05:55,0,MERGED,1.0,26.0,4,8,1,positive
550,Change has been successfully cherry-picked as 21f6bf2d17de3a69981d15d3878fd57d4169972f by Justin Luth,1,592,2016-10-31 05:16:53,2016-10-31 07:42:05,2,MERGED,1.0,15.0,3,5,1,positive
554,Patch Set 1: Verified+1Nice cleanup as well - love it =),1,596,2016-10-27 20:58:37,2016-10-28 14:05:42,17,MERGED,1.0,110.0,4,6,1,positive
594,Change has been successfully cherry-picked as b4cf309bab18caafdd2e12d21053f412a40b764d by Jochen Nitschke,6,631,2016-09-24 16:50:54,2016-10-29 20:22:59,843,MERGED,1.0,8.0,3,5,6,positive
601,Change has been successfully cherry-picked as 4d67dca78d067fe3a38a31977309d21a3c11fffd by Markus Mohrhard,3,637,2016-10-28 13:43:19,2016-10-29 16:45:20,27,MERGED,1.0,5279.0,3,4,3,positive
606,Change has been successfully cherry-picked as 255c751c48955b56b96e1cf945b800ee4c1c917c by Markus Mohrhard,1,642,2016-10-27 16:31:50,2016-10-29 04:02:04,35,MERGED,3.0,14.0,4,6,1,positive
608,Change has been successfully cherry-picked as f351b3624de79b5806a066202a3a0d6fa59c8469 by Khaled Hosny,5,643,2016-10-29 14:23:45,2016-10-29 15:50:45,1,MERGED,3.0,26.0,3,5,5,positive
611,Change has been successfully cherry-picked as bb615bc1462e5a48c368b51b0250138558882845 by Justin Luth,2,645,2016-10-29 10:54:57,2016-10-29 12:03:07,1,MERGED,8.0,41.0,2,3,2,positive
636,"Patch Set 1:> cleaner and more pleasant. Havn't read the code change though ... > =)Thanks.Are you OK with the virtual base stuff? Read just the include/vcl part of the patch to see that.Personally, I don't think it'll make any performance difference, but maybe my intuition is off?",1,668,2016-09-21 12:48:15,2016-09-21 12:48:46,0,MERGED,47.0,1353.0,4,11,13,positive
638,"Patch Set 1:Urk - using virtual inheritance for all of the OutputDevice ref and unref calls ... like this:class VCL_DLLPUBLIC OutputDevice : public virtual VclReferenceBaseI assume that this will then put all those nice previously in-lined, and optimize-able out mnRefCnt++ and -- pairs behind virtual function calls. But of course - we could look at the generated code to see if it in fact it is that awful ;-)What's the stripped binary size increase would be a good question.",1,668,2016-09-21 12:48:15,2016-09-21 12:48:46,0,MERGED,47.0,1353.0,4,11,13,positive
656,Change has been successfully cherry-picked as 873929d14aa4013eb3dac216db9b828ff01e8d8f by Michael Meeks,1,680,2016-10-22 18:06:26,2016-10-25 11:29:40,65,MERGED,1.0,6.0,4,6,1,positive
681,Change has been successfully cherry-picked as 1276e95193a714391c78120aadb0d347432eb35f by Eike Rathke,2,701,2016-10-18 14:30:19,2016-10-25 14:36:49,168,MERGED,1.0,24.0,4,8,3,positive
699,Change has been successfully cherry-picked as c5d2a18ef7dc7a9f29a948acef9e0d64a552cd63 by Samuel Mehrbrodt,1,715,2016-10-24 19:42:15,2016-10-24 19:42:15,0,MERGED,6.0,127.0,5,6,1,positive
707,Change has been successfully pushed.,2,723,2016-10-22 23:54:37,2016-10-25 22:07:27,70,MERGED,3.0,17.0,2,4,2,positive
708,Change has been successfully pushed.,2,724,2016-10-23 01:03:30,2016-10-25 22:07:27,69,MERGED,2.0,86.0,2,4,2,positive
731,"Patch Set 7: Code-Review+1 Verified+1Made a short test, looks good.Looked at the code looks good.",7,746,2016-10-14 10:13:05,2016-10-20 16:25:12,150,MERGED,3.0,105.0,4,5,7,positive
775,"Patch Set 3:Without looking too deeply, this smells like it might be breaking the implementation of the WebDAV content's ""getPropertyValues"" command for the sake of broken clients?  offapi/com/sun/star/ucb/Content.idl documents ""getPropertyValues"" as follows: ""The execution will not be aborted, if there are properties requested, that are unknown to the content. The returned row object must contain a NULL value in the corresponding column instead.""  (See css.sdbc.XRow.wasNull for how client code is supposed to check for such a ""NULL value"".)",3,783,2016-10-21 13:53:53,2016-10-21 17:49:03,3,MERGED,1.0,24.0,2,3,3,positive
777,Change has been successfully cherry-picked as 536258758a9192ce8985d5055edac600568120fc by Eike Rathke,3,784,2016-10-14 15:34:47,2016-10-22 15:29:10,191,MERGED,4.0,20.0,4,5,3,positive
780,Change has been successfully cherry-picked as 1bd2f008130c717f8f2acd6edad64e00faa2e98d by Eike Rathke,5,786,2016-10-21 02:46:47,2016-10-22 15:15:59,36,MERGED,2.0,24.0,3,4,5,positive
807,Change has been successfully cherry-picked as 785fd972f4ffb97b0d99b5cbe3d65e9e3f5ee7e2 by Ashod Nakashian,1,810,2016-10-22 15:42:57,2016-10-22 22:54:19,7,MERGED,1.0,38.0,2,3,1,positive
808,Change has been successfully cherry-picked as a69a67e81b367e36d80f0416c135d7bc4a4738bf by Ashod Nakashian,1,811,2016-10-22 15:41:54,2016-10-22 22:54:19,7,MERGED,1.0,6.0,2,3,1,positive
809,Change has been successfully cherry-picked as 166b14a83a0d59b033152ac7e7696b07412acf22 by Ashod Nakashian,1,812,2016-10-22 15:35:22,2016-10-22 22:52:22,7,MERGED,1.0,31.0,2,3,1,positive
810,Change has been successfully cherry-picked as 2644b39d5a686108bc0af3fc87615ebb298feaa0 by Ashod Nakashian,1,813,2016-10-22 15:09:18,2016-10-22 22:52:22,7,MERGED,2.0,29.0,2,3,1,positive
830,Change has been successfully cherry-picked as f736c71dde8f4a84688b932b1531808d4c7cbd8c by Julien Nabet,1,831,2016-10-23 14:12:43,2016-10-23 14:12:43,0,MERGED,1.0,2.0,3,6,2,positive
836,Change has been successfully pushed.,2,837,2016-10-22 08:16:56,2016-10-23 07:57:43,23,MERGED,4.0,27.0,2,4,2,positive
839,Change has been successfully cherry-picked as 6af27d245a70e3beb224d175b5cc96092814eeee by Julien Nabet,1,840,2016-10-22 17:24:33,2016-10-22 17:24:33,0,MERGED,2.0,8.0,3,5,1,positive
841,Change has been successfully cherry-picked as 27a4fb657fad157d26d07934ecd0cce578a99f38 by jan iversen,3,841,2016-10-18 21:36:51,2016-10-22 15:22:42,89,MERGED,2.0,61.0,4,6,4,positive
842,Change has been successfully cherry-picked as 2148c853b0d0deea92b97a810950f4d9f0cbb152 by Khaled Hosny,1,842,2016-10-22 04:00:21,2016-10-22 04:09:17,0,MERGED,5.0,92.0,3,5,1,positive
852,"Patch Set 1: Code-Review+1 Verified+1A needed change, thanks for that Tomaz!",1,851,2016-10-13 10:55:57,2016-10-18 09:06:13,118,MERGED,2.0,82.0,5,5,1,positive
886,Change has been successfully cherry-picked as 6e261cb19e5751eb0553ad0c5b357b1a5747518c by Giuseppe Castagno,2,881,2016-10-20 12:26:51,2016-10-20 12:28:39,0,MERGED,3.0,11.0,3,5,2,positive
904,Change has been successfully cherry-picked as 788e291b946c50cae0040a8a1702e9ca0b222818 by Maxim Monastirsky,1,898,2016-10-19 09:29:48,2016-10-19 09:33:53,0,MERGED,1.0,6.0,4,5,1,positive
909,Change has been successfully cherry-picked as 629bc69708a280b79f07b58adcda8593e22cf422 by Michael Meeks,1,902,2016-10-19 13:34:22,2016-10-19 23:51:10,10,MERGED,1.0,76.0,4,5,1,positive
923,Change has been successfully pushed.,2,916,2016-10-19 10:36:37,2016-10-19 14:46:20,4,MERGED,1.0,4.0,2,4,2,positive
929,Change has been successfully cherry-picked as c00d8271ba443c4f0acf657c226eea4824597f95 by Michael Meeks,3,922,2016-10-18 20:38:34,2016-10-19 08:53:36,12,MERGED,1.0,11.0,3,4,3,positive
936,"Patch Set 2:> Was the perfect bug to use as exercise in a workshop with students! > Couldn't pass up, sorry :)Sure, no worries.",2,928,2016-10-13 19:52:32,2016-10-14 13:41:38,17,MERGED,3.0,10.0,4,10,4,positive
938,"Patch Set 1:(2 comments)Beat me to it :).I've got comments, though.",1,928,2016-10-13 19:52:32,2016-10-13 19:52:32,0,MERGED,3.0,10.0,4,8,4,positive
942,Patch Set 3:> @Jay: you :)Yes like my last comment said :D,3,928,2016-10-13 19:52:32,2016-10-18 13:33:31,113,MERGED,3.0,13.0,5,9,4,positive
970,Change has been successfully cherry-picked as d1ea6ecda68bf65b8d90e9ea17fa0a218a92b016 by Jochen Nitschke,3,947,2016-10-16 18:08:47,2016-10-18 17:23:13,47,MERGED,40.0,166.0,3,5,3,positive
1037,Change has been successfully cherry-picked as 4af1ac3a9a773e4875712dd2f43f06a1a4edcc19 by Miklos Vajna,2,1006,2016-10-14 14:26:09,2016-10-14 14:35:11,0,MERGED,1.0,6.0,4,5,2,positive
1075,Patch Set 2:I filed a bug with the requested info. Thanks for reviewing it!https://bugs.documentfoundation.org/show_bug.cgi?id=103211,2,1040,2016-10-12 19:41:26,2016-10-12 20:23:53,0,MERGED,2.0,21.0,2,5,4,positive
1112,Change has been successfully cherry-picked as 71901bfedd9f0f6f31be8a9ff54253d56c10b5f3 by jan iversen,1,1075,2016-10-14 02:36:10,2016-10-14 02:36:10,0,MERGED,1.0,15.0,4,6,1,positive
1113,Change has been successfully cherry-picked as 6d4dd15ee2fa3206988c0facbf47c1a9ab527f30 by jan iversen,2,1076,2016-10-10 15:48:32,2016-10-13 09:34:08,65,MERGED,1.0,2.0,4,5,2,positive
1123,Change has been successfully cherry-picked as f85439d415e11e314016f18240640038f9ec4387 by Julien Nabet,1,1084,2016-10-14 13:12:56,2016-10-14 13:12:56,0,MERGED,7.0,21.0,4,5,1,positive
1125,Change has been successfully cherry-picked as f2c3efb124f12f6087b2304c5c55f202b0d41f9a by Julien Nabet,1,1085,2016-10-14 13:24:30,2016-10-14 13:24:30,0,MERGED,5.0,15.0,4,5,1,positive
1127,Change has been successfully cherry-picked as ad59a9a9cd1e48fa5120c98930f49fd02551185c by Julien Nabet,1,1086,2016-10-14 09:19:51,2016-10-14 09:19:51,0,MERGED,8.0,36.0,4,5,1,positive
1131,Change has been successfully cherry-picked as bd041161f3dc65a36245ce271007dce003529a9c by Khaled Hosny,2,1089,2016-10-08 14:18:03,2016-10-10 11:17:12,44,MERGED,1.0,27.0,4,6,2,positive
1155,Change has been successfully cherry-picked as e5e461dd60e7d104f6eb1187949c161372e7b02e by Eike Rathke,3,1112,2016-10-12 19:41:26,2016-10-14 15:26:16,43,MERGED,2.0,22.0,2,3,3,positive
1156,Change has been successfully cherry-picked as cec94a4ecaad666f7222598fd1e2ad9ac05fb878 by Marco Cecchetti,3,1113,2016-10-09 20:06:40,2016-10-14 14:58:31,114,MERGED,1.0,4.0,3,4,3,positive
1161,Change has been successfully cherry-picked as f617d9466632f656811474cd49311e13ab950753 by Eike Rathke,1,1118,2016-09-20 06:04:50,2016-10-14 15:46:03,585,MERGED,1.0,37.0,4,7,1,positive
1204,Change has been successfully cherry-picked as f74a76391cc8c41514ead1698f92037081a2e257 by Stephan Bergmann,1,1154,2016-10-13 19:28:41,2016-10-13 19:28:41,0,MERGED,1.0,17.0,3,5,1,positive
1241,Patch Set 1: Code-Review+2Seems sensible to me =)Thanks !,1,1185,2016-10-02 01:07:20,2016-10-11 21:20:07,236,MERGED,1.0,20.0,5,6,2,positive
1242,Change has been successfully cherry-picked as a4d124e13abb7445f5b7f5f73556bc91ae867ab8 by Markus Mohrhard,1,1185,2016-10-02 01:07:20,2016-10-11 21:20:07,236,MERGED,1.0,20.0,5,6,2,positive
1244,"Patch Set 2:So, reverting it will reintroduce those two bugs this ""fixes"".This is one of these very common situations in Calc where, 1) the feature expectation is not very clear, 2) there is no test, 3) no code doc indicating how the code should behave, and 4) an attempt to fix stuff will get met with ""this is wrong, please revert"". ;-)Frustrating...",2,1185,2016-10-02 01:07:20,2016-10-13 05:22:19,268,MERGED,1.0,20.0,2,2,2,positive
1259,Change has been successfully cherry-picked as da47c37c59ce8ce8c56f396ec79361c19b4bdb51 by Bj├Ârn Michaelsen,1,1197,2016-10-12 22:32:20,2016-10-12 22:32:20,0,MERGED,2.0,0.0,3,5,1,positive
1261,Change has been successfully cherry-picked as f2061f85bf4d3d005668c3192589f0d242a49a36 by Bj├Ârn Michaelsen,2,1198,2016-10-12 21:42:26,2016-10-13 09:00:39,11,MERGED,5.0,132.0,2,3,2,positive
1263,Change has been successfully cherry-picked as 7f77e6840d73c890e9cd0a94cab32b25d77883ae by Bj├Ârn Michaelsen,1,1199,2016-10-12 21:31:15,2016-10-12 21:44:28,0,MERGED,7.0,94.0,3,5,1,positive
1280,"Patch Set 1: Code-Review+2Hi Justin; looks really great - but can we find where the exception comes from - and get a stack trace of that ? The way to do that is to put a break-point into where the 'try' is, and break in __cxa_throw and continue, and see what traces we get.I'm happy for this to go in in the meantime though of course, if it's breaking the build; that's bad; but could you file a bug and CC me on the trace ?Thanks !",1,1213,2016-10-12 12:13:37,2016-10-12 12:13:37,0,MERGED,1.0,24.0,3,5,3,positive
1283,Change has been successfully cherry-picked as 2ee2757f152eadd880f222553daf253d98d31efa by Katarina Behrens,2,1216,2016-10-12 08:54:35,2016-10-12 10:55:18,2,MERGED,1.0,3.0,3,4,2,positive
1292,Change has been successfully cherry-picked as a4df89e0fafb3b2991a57c506f137367a117f355 by jan iversen,1,1224,2016-10-12 08:58:46,2016-10-12 08:58:46,0,MERGED,2.0,22.0,4,6,2,positive
1293,Change has been successfully cherry-picked as 34698034dbfe59bf444709fcf54d01f8a6f03f83 by Samuel Mehrbrodt,1,1225,2016-10-11 19:54:12,2016-10-11 19:56:17,0,MERGED,1.0,2.0,3,5,1,positive
1294,Change has been successfully cherry-picked as 6b44a8186da2270ef7d120b97380aabc297be76b by Katarina Behrens,1,1226,2016-10-12 08:44:37,2016-10-12 08:44:37,0,MERGED,1.0,4.0,3,5,1,positive
1300,"RestoredArea tab revival, yay",8,1229,2016-08-22 11:18:05,2016-08-22 12:44:40,1,MERGED,10.0,2245.0,3,7,18,positive
1308,Change has been successfully cherry-picked as 0e156497a87608f266389192f6d22d35076a6694 by jan iversen,1,1236,2016-09-24 17:46:51,2016-09-24 17:46:51,0,MERGED,1.0,4330.0,5,9,2,positive
1322,Change has been successfully cherry-picked as 086550313260d9fa45b91dc705b21bb9b51ce0b8 by Justin Luth,13,1249,2016-10-07 10:44:01,2016-10-10 19:16:57,80,MERGED,167.0,4282.0,3,4,13,positive
1324,"Patch Set 1:If this increases test coverage, then I'm all for this. Please push this yourself when jenkins is happy, so you don't have to rebase + resolve conflicts in a loop. :-)",1,1249,2016-10-07 10:44:01,2016-10-07 10:44:01,0,MERGED,167.0,4298.0,3,6,13,positive
1332,Change has been successfully cherry-picked as 8e8afc358b7537d493b478b429e1711c6ab46bdc by jan iversen,8,1255,2016-10-08 08:04:38,2016-10-08 08:04:38,0,MERGED,1.0,159.0,4,6,9,positive
1340,Change has been successfully cherry-picked as ecec5524476448d35dd24c5594c2fcbb1a8b6218 by Thorsten Behrens,7,1261,2016-09-19 11:08:23,2016-10-04 15:26:16,364,MERGED,1.0,28.0,3,4,7,positive
1344,"Patch Set 4: Code-Review+2> (2 comments)Thanks for explicitly pointing out those two ""substantial"" changes amidst the sea of .get()/.Is() additions.  Those changes look good to me.  They should probably even be extended, to make those functions return Refs instead of raw pointers, too, but that'll best be addressed by an independent follow-up change.",4,1265,2016-10-05 20:00:51,2016-10-09 21:01:54,97,MERGED,141.0,1369.0,4,5,4,positive
1345,Change has been successfully cherry-picked as f004aa99514d385f3ee254bba735f5eaeb7d9ad8 by Stephan Bergmann,4,1265,2016-10-05 20:00:51,2016-10-09 21:01:54,97,MERGED,141.0,1369.0,4,5,4,positive
1360,Patch Set 2: Code-Review+2Looks good to me,2,1280,2016-10-06 13:53:23,2016-10-06 16:43:24,2,MERGED,7.0,70.0,4,6,2,positive
