ID,ID.1,text,patchSetNum,changeId,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall,Text
48,320,"Patch Set 2:David, can you give feedback on this change? Would be very nice to have hyperlinking for Asccidoc",2,733,2016-07-08 08:40:29,2016-07-11 22:32:59,85,MERGED,9.0,496.0,4,10,10,positive,"Patch Set 2:David, can you give feedback on this change? Would be very nice to have hyperlinking for Asccidoc"
49,321,"Patch Set 2: Code-Review+1(9 comments)Looks good.  Apologies for the delay.  I would have liked to get to this one sooner, but it's been really busy.I've made some suggestions inline.",2,733,2016-07-08 08:40:29,2016-07-11 22:32:59,85,MERGED,9.0,496.0,4,10,10,positive,"Patch Set 2: Code-Review+1(9 comments)Looks good.  Apologies for the delay.  I would have liked to get to this one sooner, but it's been really busy.I've made some suggestions inline."
52,337,"Patch Set 4:After further discussion with Jacques, it seems the best is to only keep the tooltip on the subject widget. I also added the update to the license.",4,736,2016-10-31 18:02:30,2016-11-03 17:59:08,71,MERGED,1.0,52.0,3,5,6,positive,"Patch Set 4:After further discussion with Jacques, it seems the best is to only keep the tooltip on the subject widget. I also added the update to the license."
54,356,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems.",1,745,2016-10-06 20:59:21,2016-10-24 19:50:09,430,MERGED,1.0,5.0,5,8,1,positive,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems."
55,358,"Patch Set 1: Verified+1@genevieve, I think this is good to go.",1,745,2016-10-06 20:59:21,2016-10-24 19:50:09,430,MERGED,1.0,5.0,5,8,1,positive,"Patch Set 1: Verified+1@genevieve, I think this is good to go."
57,378,"Patch Set 3:Thanks, Aur├®lien !I just applied the same change on an extra class.",3,756,2016-10-25 17:38:12,2016-11-04 09:33:08,231,MERGED,4.0,14.0,3,6,3,positive,"Patch Set 3:Thanks, Aur├®lien !I just applied the same change on an extra class."
58,385,"Patch Set 1:@ Lars, Once Bug 501742  is merged, when you have time, please feel free to review this guy.Thank you.",1,761,2016-11-02 18:57:07,2016-11-02 18:57:07,0,MERGED,1.0,4.0,3,6,2,positive,"Patch Set 1:@ Lars, Once Bug 501742  is merged, when you have time, please feel free to review this guy.Thank you."
60,387,"Patch Set 1:I see two issues with your patch. The first one is a blocker: You can't remove API because we don't plan for a major release.The other issue is that I don't like your ""pessimistic fall-back"" apporach to determine the absolute path of the file. What if the file exists in both possible locations? I imagine a more deterministic approach would be the introduction of a special syntax for config-folder-relative paths, for example ""@config/..."".",1,762,2016-10-14 10:06:55,2016-10-14 10:14:42,0,MERGED,3.0,65.0,3,4,6,positive,"Patch Set 1:I see two issues with your patch. The first one is a blocker: You can't remove API because we don't plan for a major release.The other issue is that I don't like your ""pessimistic fall-back"" apporach to determine the absolute path of the file. What if the file exists in both possible locations? I imagine a more deterministic approach would be the introduction of a special syntax for config-folder-relative paths, for example ""@config/...""."
62,395,"Patch Set 1:@ Dani or Noopur, Would you be able to review this patch?Thank you.",1,763,2016-11-01 20:10:47,2016-11-02 18:46:57,22,MERGED,1.0,4.0,4,6,1,positive,"Patch Set 1:@ Dani or Noopur, Would you be able to review this patch?Thank you."
64,402,"Patch Set 5: Code-Review+2Agreed, wait for hudson!",5,766,2016-10-26 15:01:45,2016-11-03 20:19:55,197,MERGED,4.0,62.0,4,7,5,positive,"Patch Set 5: Code-Review+2Agreed, wait for hudson!"
69,437,Patch Set 2: Code-Review+2If that allows working-around https://bugs.lttng.org/issues/1070 then great!,2,775,2016-10-22 05:08:13,2016-10-24 19:59:32,62,MERGED,1.0,12.0,5,9,2,positive,Patch Set 2: Code-Review+2If that allows working-around https://bugs.lttng.org/issues/1070 then great!
70,438,Patch Set 2:> If that allows working-around https://bugs.lttng.org/issues/1070 > then great!I don't think it's the same. It's the path that's too long. Those tests use old MI format so the limit is 255 but in 3.0 there is no such limit. So it's really working around the limitation in MI < 3.0 which is not going to be fixed.,2,775,2016-10-22 05:08:13,2016-10-24 19:59:32,62,MERGED,1.0,12.0,5,9,2,positive,Patch Set 2:> If that allows working-around https://bugs.lttng.org/issues/1070 > then great!I don't think it's the same. It's the path that's too long. Those tests use old MI format so the limit is 255 but in 3.0 there is no such limit. So it's really working around the limitation in MI < 3.0 which is not going to be fixed.
71,448,Patch Set 1: Code-Review+2seems good,1,778,2016-11-02 21:43:01,2016-11-02 21:43:01,0,MERGED,1.0,4.0,3,6,1,positive,Patch Set 1: Code-Review+2seems good
74,454,"Patch Set 5: Code-Review+1I am fine with this, please remember to update the manuals at the end of this chain.",5,780,2016-09-22 21:23:31,2016-11-02 16:48:56,979,MERGED,1.0,18.0,5,7,5,positive,"Patch Set 5: Code-Review+1I am fine with this, please remember to update the manuals at the end of this chain."
77,484,"Patch Set 1:I was wrong the code works fine. My bad. But If I use the code from CustomizableDelegatingItemLabelProvider, I introduce uml dependancies  to infra",1,791,2016-10-25 15:27:40,2016-10-25 15:27:40,0,MERGED,1.0,17.0,3,6,3,positive,"Patch Set 1:I was wrong the code works fine. My bad. But If I use the code from CustomizableDelegatingItemLabelProvider, I introduce uml dependancies  to infra"
78,492,Patch Set 1:Yes please! Thanks!,1,796,2016-10-27 15:29:25,2016-10-27 15:29:25,0,MERGED,1.0,1.0,3,5,1,positive,Patch Set 1:Yes please! Thanks!
80,495,Patch Set 1:Yes please! Thanks!,1,797,2016-10-27 15:07:21,2016-10-27 15:07:21,0,MERGED,2.0,69.0,3,5,1,positive,Patch Set 1:Yes please! Thanks!
81,503,"Patch Set 4:The discussion was around having the possibility to select the inverted colors from the preference page in addition to the original action.After agreeing that it should be present in the preference page, you suggested to then remove the actual action from the console pages.We decided to leave the removal as a separate commit in case we change our mind.So this is the best time re-consider :-)",4,802,2016-09-14 21:58:00,2016-10-07 13:01:15,543,MERGED,8.0,65.0,4,6,5,positive,"Patch Set 4:The discussion was around having the possibility to select the inverted colors from the preference page in addition to the original action.After agreeing that it should be present in the preference page, you suggested to then remove the actual action from the console pages.We decided to leave the removal as a separate commit in case we change our mind.So this is the best time re-consider :-)"
82,505,Patch Set 5: Code-Review+2 Verified+1looks good.,5,802,2016-09-14 21:58:00,2016-10-25 14:26:26,976,MERGED,7.0,54.0,5,8,5,positive,Patch Set 5: Code-Review+2 Verified+1looks good.
84,523,"Patch Set 5: Code-Review+2 Verified+1Previously approved, thanks for the review!",5,811,2016-09-01 00:34:07,2016-10-25 01:46:00,1297,MERGED,7.0,70.0,4,5,5,positive,"Patch Set 5: Code-Review+2 Verified+1Previously approved, thanks for the review!"
86,526,Patch Set 1:(Maybe not important) I did a quick look at the patch. I like the idea of this patch. It brings more genericity to TC also as better handling of latency views. Let's wait for the others opinion before starting the review process.,1,812,2016-08-10 19:03:39,2016-08-10 19:28:45,0,MERGED,13.0,169.0,4,8,6,positive,Patch Set 1:(Maybe not important) I did a quick look at the patch. I like the idea of this patch. It brings more genericity to TC also as better handling of latency views. Let's wait for the others opinion before starting the review process.
88,528,Patch Set 1:(1 comment)Thanks for the review. Do you want the removal of the system call latency table and XML view in this same patch? I was thinking to do patches above this one for that so that each one is well scoped (there are swtbot tests for latency view to change as well),1,812,2016-08-10 19:03:39,2016-08-10 19:28:45,0,MERGED,13.0,169.0,4,8,6,positive,Patch Set 1:(1 comment)Thanks for the review. Do you want the removal of the system call latency table and XML view in this same patch? I was thinking to do patches above this one for that so that each one is well scoped (there are swtbot tests for latency view to change as well)
89,529,Patch Set 1:> (1 comment) >  > Thanks for the review. >  > Do you want the removal of the system call latency table and XML > view in this same patch? I was thinking to do patches above this > one for that so that each one is well scoped (there are swtbot > tests for latency view to change as well)Separate patch is fine with me.,1,812,2016-08-10 19:03:39,2016-08-10 19:28:45,0,MERGED,13.0,169.0,4,8,6,positive,Patch Set 1:> (1 comment) >  > Thanks for the review. >  > Do you want the removal of the system call latency table and XML > view in this same patch? I was thinking to do patches above this > one for that so that each one is well scoped (there are swtbot > tests for latency view to change as well)Separate patch is fine with me.
90,537,"Patch Set 5:Ok, the icons should be moved progressively, but I am fine with them all arriving now.",5,812,2016-09-22 01:04:53,2016-09-29 17:21:28,184,MERGED,12.0,130.0,3,8,6,positive,"Patch Set 5:Ok, the icons should be moved progressively, but I am fine with them all arriving now."
91,540,"Patch Set 6:screencast maybe? I did the same with trace2, as I do not have the robot trace, and it works fine.",6,812,2016-09-22 01:04:53,2016-10-24 19:26:33,786,MERGED,9.0,128.0,4,13,6,positive,"Patch Set 6:screencast maybe? I did the same with trace2, as I do not have the robot trace, and it works fine."
92,564,Patch Set 13: Verified+1 Code-Review+2Patchset 13 looks good to me.,13,825,2016-09-14 20:35:08,2016-10-24 20:30:37,959,MERGED,17.0,350.0,2,4,14,positive,Patch Set 13: Verified+1 Code-Review+2Patchset 13 looks good to me.
93,566,Patch Set 14: Code-Review+2 Verified+1Thanks Marc D. and Marc K. for your thorough reviews !,14,825,2016-09-14 20:35:08,2016-10-25 01:43:11,965,MERGED,17.0,350.0,3,8,14,positive,Patch Set 14: Code-Review+2 Verified+1Thanks Marc D. and Marc K. for your thorough reviews !
94,568,Patch Set 5:(8 comments)looking good,5,825,2016-09-14 20:35:08,2016-10-07 12:56:46,544,MERGED,12.0,316.0,3,5,14,positive,Patch Set 5:(8 comments)looking good
97,606,"Patch Set 1:Do we really need a special section like ""Special Situations"" to describe this? IMHO adding we can add it similar to ""Host""",1,842,2016-10-21 14:42:30,2016-10-21 14:43:34,0,MERGED,1.0,15.0,2,3,2,positive,"Patch Set 1:Do we really need a special section like ""Special Situations"" to describe this? IMHO adding we can add it similar to ""Host"""
98,623,"Patch Set 6: Code-Review+2 Verified+1Nice reduction on GdbFullCliConsolePage, Thanks Marc K. !!",6,849,2016-10-03 17:16:55,2016-10-22 23:54:43,462,MERGED,5.0,301.0,4,7,6,positive,"Patch Set 6: Code-Review+2 Verified+1Nice reduction on GdbFullCliConsolePage, Thanks Marc K. !!"
99,625,Patch Set 5:(10 comments)Excellent patch!My only comments are about names of classes and variables.I also noticed we can simplify the GdbFullCliConsolePage class.I'll post those fixes so you can tell me what you think.,5,849,2016-10-03 17:16:55,2016-10-21 19:17:31,434,MERGED,5.0,185.0,2,5,6,positive,Patch Set 5:(10 comments)Excellent patch!My only comments are about names of classes and variables.I also noticed we can simplify the GdbFullCliConsolePage class.I'll post those fixes so you can tell me what you think.
100,628,"Patch Set 1: Code-Review-1Could you add a unit test for this please? Very many unit tests have their own delete Supplementary file small method (at least, I've copy pasted it at least a dozen times ;-) They will all be using this now!Also, this method is using the old io library, while new code should aim to rather use the java.nio library. That said, we don't really enforce that and the ""delete files in directory"" use case is much more verbose with nio than this one-liner. But I know you usually prefer the new and hipster way, so I'll just highlight this here with no obligation ;-)",1,850,2016-10-07 21:04:51,2016-10-07 21:05:30,0,MERGED,1.0,18.0,3,7,4,positive,"Patch Set 1: Code-Review-1Could you add a unit test for this please? Very many unit tests have their own delete Supplementary file small method (at least, I've copy pasted it at least a dozen times ;-) They will all be using this now!Also, this method is using the old io library, while new code should aim to rather use the java.nio library. That said, we don't really enforce that and the ""delete files in directory"" use case is much more verbose with nio than this one-liner. But I know you usually prefer the new and hipster way, so I'll just highlight this here with no obligation ;-)"
101,629,"Patch Set 1:You know me well ;) I did try to use Path/Files/nio at first, but this particular operation is *very* verbose with nio, DirectoryStream and whatnot and handling exceptions endlessly.Although note that FileUtils is part of Apache Commons (which was already used by this plugin, so I didn't even have to add the dependency!) and it does exactly what we want in a one-liner. It makes sense to just use that. If a future version of that lib allows using a Path directly, even better.",1,850,2016-10-07 21:04:51,2016-10-07 21:05:30,0,MERGED,1.0,18.0,3,7,4,positive,"Patch Set 1:You know me well ;) I did try to use Path/Files/nio at first, but this particular operation is *very* verbose with nio, DirectoryStream and whatnot and handling exceptions endlessly.Although note that FileUtils is part of Apache Commons (which was already used by this plugin, so I didn't even have to add the dependency!) and it does exactly what we want in a one-liner. It makes sense to just use that. If a future version of that lib allows using a Path directly, even better."
102,633,"Patch Set 4:> I'm wondering if we should be running those jenkins builds at all.It's somewhat useful to me, as I have some private jobs that are based on that one that I can use to run tests before pushing patches to Gerrit. Also, Mac and Windows coverage, which we do not have anywhere else.With this new build property, I'll split a new column that runs just the ""unit"" tests, and another one that runs all the tests. So at least we'll be able to differentiate between ""it's completely broken"" and ""works except for the known UI test flakiness"".",4,851,2016-10-08 00:02:47,2016-10-24 20:25:32,404,MERGED,8.0,119.0,1,1,4,positive,"Patch Set 4:> I'm wondering if we should be running those jenkins builds at all.It's somewhat useful to me, as I have some private jobs that are based on that one that I can use to run tests before pushing patches to Gerrit. Also, Mac and Windows coverage, which we do not have anywhere else.With this new build property, I'll split a new column that runs just the ""unit"" tests, and another one that runs all the tests. So at least we'll be able to differentiate between ""it's completely broken"" and ""works except for the known UI test flakiness""."
103,639,"Patch Set 1:> The better way to do it would be to sort the tests by duration and pick the ones that take over a threshold.> I think it'd be better to call them ""slow tests"". The line for integration tests is not very clear and too open for debate. What do you think?Slow tests are good, I would then love to study which ones are slow in core too. We have some that have huge room for improvement, like the scheduler tests.",1,851,2016-10-08 00:02:47,2016-10-18 00:12:54,240,MERGED,8.0,151.0,4,13,4,positive,"Patch Set 1:> The better way to do it would be to sort the tests by duration and pick the ones that take over a threshold.> I think it'd be better to call them ""slow tests"". The line for integration tests is not very clear and too open for debate. What do you think?Slow tests are good, I would then love to study which ones are slow in core too. We have some that have huge room for improvement, like the scheduler tests."
105,643,"Patch Set 3:Yeah so we're kinda stuck until https://issues.apache.org/jira/browse/MNG-3328 gets fixed. We're trying to activate profile based on a OR of several conditions ((!property1) OR (!property2)), and that is just not currently supported.Here's an alternative solution, which makes -Dskip-rcp only work if -Dskip-automated-tests is also passed. If the automated tests are asked for, it will build the RCP so it can run them. Not ideal, but I think it's an ok stopgap solution. Thoughts?",3,851,2016-10-08 00:02:47,2016-10-20 23:20:13,311,MERGED,8.0,119.0,4,9,4,positive,"Patch Set 3:Yeah so we're kinda stuck until https://issues.apache.org/jira/browse/MNG-3328 gets fixed. We're trying to activate profile based on a OR of several conditions ((!property1) OR (!property2)), and that is just not currently supported.Here's an alternative solution, which makes -Dskip-rcp only work if -Dskip-automated-tests is also passed. If the automated tests are asked for, it will build the RCP so it can run them. Not ideal, but I think it's an ok stopgap solution. Thoughts?"
106,646,"Patch Set 3:> We haven't add a successful TC build in weeks. If at least we can > get *some* of the rows showing green, this can give some baseline > that we can use for testing our patches against. Right now our > Trace Compass job is honestly just burning CPU cycles for nothing.I'm wondering if we should be running those jenkins builds at all. We don't seem to have the manpower available to take care of maintaining them. Sometimes I look at them on a rainy Saturday. It's somewhat interesting to me as additional data points, but that's about it.",3,851,2016-10-08 00:02:47,2016-10-20 23:20:13,311,MERGED,8.0,119.0,4,9,4,positive,"Patch Set 3:> We haven't add a successful TC build in weeks. If at least we can > get *some* of the rows showing green, this can give some baseline > that we can use for testing our patches against. Right now our > Trace Compass job is honestly just burning CPU cycles for nothing.I'm wondering if we should be running those jenkins builds at all. We don't seem to have the manpower available to take care of maintaining them. Sometimes I look at them on a rainy Saturday. It's somewhat interesting to me as additional data points, but that's about it."
107,647,Patch Set 3:Thanks for the review!,3,851,2016-10-08 00:02:47,2016-10-20 23:20:13,311,MERGED,8.0,119.0,4,9,4,positive,Patch Set 3:Thanks for the review!
108,649,"Patch Set 6: Code-Review+1 Verified+1(1 comment)looks good to me, just a comment on code not from this patch, so it can be done separately.",6,852,2016-10-05 17:51:38,2016-10-21 15:09:44,381,MERGED,2.0,62.0,4,8,6,positive,"Patch Set 6: Code-Review+1 Verified+1(1 comment)looks good to me, just a comment on code not from this patch, so it can be done separately."
111,656,Patch Set 4:Go for it!,4,853,2016-10-24 13:47:55,2016-10-24 18:02:17,4,MERGED,2.0,23.0,5,10,4,positive,Patch Set 4:Go for it!
112,657,Patch Set 4:Hello hudson!,4,853,2016-10-24 13:47:55,2016-10-24 18:02:17,4,MERGED,2.0,23.0,5,10,4,positive,Patch Set 4:Hello hudson!
113,661,"Patch Set 2: Code-Review-1(1 comment)I'm pushing a patch (and publishing!) with additional unit tests for various comparators. My previous comments about supporting also sorted iterators for the other iterator methods are still valid.Also should the segments store all be sorted by start time by default, or is the order irrelevant, one can always sort from the view if they wish. I'd be tempted to say the latter, but the code seems to scream the former, though the javadoc of the segment store makes no comment about the default ordering.",2,855,2016-09-27 16:25:40,2016-10-20 18:56:09,554,MERGED,7.0,156.0,2,4,8,positive,"Patch Set 2: Code-Review-1(1 comment)I'm pushing a patch (and publishing!) with additional unit tests for various comparators. My previous comments about supporting also sorted iterators for the other iterator methods are still valid.Also should the segments store all be sorted by start time by default, or is the order irrelevant, one can always sort from the view if they wish. I'd be tempted to say the latter, but the code seems to scream the former, though the javadoc of the segment store makes no comment about the default ordering."
114,662,Patch Set 6:(1 comment)I like this,6,855,2016-09-27 16:25:40,2016-10-21 19:13:55,578,MERGED,6.0,172.0,3,4,8,positive,Patch Set 6:(1 comment)I like this
116,674,"Patch Set 3: Code-Review-1(1 comment)It is not so bad to have it automatic. People doing kernel and ust traces will not expect to have to click the synchronize button for traces taken on the same host (I wouldn't!). So unless the synchronization is automatic, it can be out of the synchronization API.Also the trace-sync does an event request and expects to match events from the various traces. The trace-sync will have to be modified for this trace-wide scenario. Also the new synchronized kernel/ust blob of traces may need to be synchronized with another host entirely through network packet. This will have to work as well, adding the 2 sync formulae.Also, some issues to fix for more seemless experience.",3,856,2016-01-28 02:50:39,2016-03-08 20:24:21,977,MERGED,1.0,115.0,5,11,12,positive,"Patch Set 3: Code-Review-1(1 comment)It is not so bad to have it automatic. People doing kernel and ust traces will not expect to have to click the synchronize button for traces taken on the same host (I wouldn't!). So unless the synchronization is automatic, it can be out of the synchronization API.Also the trace-sync does an event request and expects to match events from the various traces. The trace-sync will have to be modified for this trace-wide scenario. Also the new synchronized kernel/ust blob of traces may need to be synchronized with another host entirely through network packet. This will have to work as well, adding the 2 sync formulae.Also, some issues to fix for more seemless experience."
119,677,"Patch Set 3:Whoever ends up working on this patch, I'd like that my comments that I put a -1 for are taken into account... Or I'll put a -1 again :p",3,856,2016-01-28 02:50:39,2016-03-08 20:24:21,977,MERGED,1.0,115.0,5,11,12,positive,"Patch Set 3:Whoever ends up working on this patch, I'd like that my comments that I put a -1 for are taken into account... Or I'll put a -1 again :p"
120,679,Patch Set 11: Code-Review+1(1 comment)Still fine with me and even better than last time I +1ed it!,11,856,2016-10-04 23:56:44,2016-10-20 22:06:44,382,MERGED,4.0,451.0,5,10,12,positive,Patch Set 11: Code-Review+1(1 comment)Still fine with me and even better than last time I +1ed it!
124,688,"Patch Set 9: Code-Review+1 Verified+1(4 comments)Except for my rant, thank you for reading, this patch looks fine.I have one last point of discussion, but any change there can be done in a separate patch, as if we move the delete Supp files to TmfTrace, we may need some unit tests and other to make sure it all still works fine.",9,856,2016-10-04 23:56:44,2016-10-18 21:34:29,333,MERGED,6.0,472.0,4,11,12,positive,"Patch Set 9: Code-Review+1 Verified+1(4 comments)Except for my rant, thank you for reading, this patch looks fine.I have one last point of discussion, but any change there can be done in a separate patch, as if we move the delete Supp files to TmfTrace, we may need some unit tests and other to make sure it all still works fine."
126,707,"Patch Set 4:(4 comments)Thanks for the comments, I'll wait until we get to this patch in the branch to update it.",4,856,2016-10-04 23:56:44,2016-10-07 22:21:09,70,MERGED,3.0,287.0,3,8,12,positive,"Patch Set 4:(4 comments)Thanks for the comments, I'll wait until we get to this patch in the branch to update it."
