ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
40,Patch Set 11: Code-Review+2 Verified+1This looks good to me!Thanks,11,697,2016/11/15 15:45,2016/10/4 2:01,2016/11/15 15:34,0,MERGED,2,429,3,4,11,positive
43,"Patch Set 8:(6 comments)The comments are now addressed in patch set 9, Thanks Marc K!",8,697,2016/11/14 16:37,2016/10/4 2:01,2016/11/14 3:25,13,MERGED,2,427,3,6,11,positive
47,"Patch Set 7: Code-Review-2I rebased again, hopefully this build will be stable.",7,726,2016/11/4 10:22,2016/10/17 15:10,2016/11/4 10:21,0,MERGED,5,130,4,8,7,positive
55,Patch Set 4: Code-Review+2Thanks Marc D!,4,732,2016/11/4 14:04,2016/8/5 13:09,2016/11/4 13:35,0,MERGED,2,10,3,5,6,positive
58,Patch Set 10:Thanks for the contribution Simon!  I've merged your changes.,10,733,2016/11/4 14:44,2016/7/8 8:40,2016/11/3 0:17,38,MERGED,11,672,4,7,10,positive
59,"Patch Set 5:Hi David,would be nice if you could review my latest changes. I┬┤d love to make use of this feature during ""asciidocing"" ;-)",5,733,2016/10/14 19:20,2016/7/8 8:40,2016/10/14 19:18,0,MERGED,11,679,3,6,10,positive
60,Patch Set 5: Code-Review+1(1 comment)Looks great! A question inline:,5,733,2016/10/18 15:17,2016/7/8 8:40,2016/10/14 19:18,91,MERGED,11,679,3,6,10,positive
62,Patch Set 2:> Would be create the have the option to jump to an included fileSimon told me that this comment is hard to parse. I wanted to say that I would appreciate if David could review this and merge if it sufficient.,2,733,2016/7/15 7:48,2016/7/8 8:40,2016/7/11 22:32,81,MERGED,9,496,4,10,10,positive
63,"Patch Set 2: Code-Review+1Simon, can you remove the dependency to the other commit? I think it is not necessary.David, could you review this? This would be extremely helpful during my documentation work?",2,733,2016/8/30 10:22,2016/7/8 8:40,2016/7/11 22:32,1187,MERGED,9,496,4,10,10,positive
64,"Patch Set 2:David, can you give feedback on this change? Would be very nice to have hyperlinking for Asccidoc",2,733,2016/9/19 10:01,2016/7/8 8:40,2016/7/11 22:32,1667,MERGED,9,496,4,10,10,positive
65,"Patch Set 2: Code-Review+1(9 comments)Looks good.  Apologies for the delay.  I would have liked to get to this one sooner, but it's been really busy.I've made some suggestions inline.",2,733,2016/9/28 23:13,2016/7/8 8:40,2016/7/11 22:32,1896,MERGED,9,496,4,10,10,positive
66,"Patch Set 1: Code-Review+1This is very good, but can we also have the file creation? It can help us catch hung state systems.",1,745,2016/11/2 15:27,2016/10/6 20:59,2016/10/24 19:50,211,MERGED,1,5,5,8,1,positive
70,"Patch Set 3:Thanks, Aur├®lien !I just applied the same change on an extra class.",3,756,2016/11/4 9:59,2016/10/25 17:38,2016/11/4 9:33,0,MERGED,4,14,3,6,3,positive
72,Patch Set 2: Code-Review+2 Verified+1Thanks Leo,2,761,2016/11/4 7:03,2016/11/2 18:57,2016/11/4 7:03,0,MERGED,1,4,3,4,2,positive
73,"Patch Set 1:@ Lars, Once Bug 501742  is merged, when you have time, please feel free to review this guy.Thank you.",1,761,2016/11/2 19:26,2016/11/2 18:57,2016/11/2 18:57,0,MERGED,1,4,3,6,2,positive
76,Patch Set 4:(2 comments)If you're okay with these changes I can approve the review...,4,762,2016/11/3 7:47,2016/10/26 13:38,2016/11/2 10:36,21,MERGED,6,137,3,7,6,positive
79,"Patch Set 5:> So to recap: rename the method, add a component to the commit > message, than I +1/+1. It passed stress test btw. It did before too > though. :SIt's pretty difficult to reproduce. I've seen it with machines under load, etc. But I see other failures too. Still, an improvement is better than nothing.",5,766,2016/11/3 20:21,2016/10/26 15:01,2016/11/3 20:19,0,MERGED,4,62,4,7,5,positive
80,"Patch Set 5: Code-Review+2Agreed, wait for hudson!",5,766,2016/11/3 20:24,2016/10/26 15:01,2016/11/3 20:19,0,MERGED,4,62,4,7,5,positive
81,"Patch Set 4:So to recap: rename the method, add a component to the commit message, than I +1/+1. It passed stress test btw. It did before too though. :S",4,766,2016/11/3 20:15,2016/10/26 15:01,2016/11/3 4:29,15,MERGED,4,57,3,12,5,positive
83,Patch Set 1: Code-Review+1also +1 for whenever the test stops failing,1,770,2016/10/24 19:08,2016/10/21 15:34,2016/10/21 15:34,75,MERGED,1,2,3,11,4,positive
86,Patch Set 1: Code-Review+2seems good,1,778,2016/11/2 21:44,2016/11/2 21:43,2016/11/2 21:43,0,MERGED,1,4,3,6,1,positive
90,Patch Set 1:Yes please! Thanks!,1,796,2016/11/3 13:03,2016/10/27 15:29,2016/10/27 15:29,165,MERGED,1,1,3,5,1,positive
92,Patch Set 1:Yes please! Thanks!,1,797,2016/11/3 13:03,2016/10/27 15:07,2016/10/27 15:07,165,MERGED,2,69,3,5,1,positive
96,"Patch Set 4:The discussion was around having the possibility to select the inverted colors from the preference page in addition to the original action.After agreeing that it should be present in the preference page, you suggested to then remove the actual action from the console pages.We decided to leave the removal as a separate commit in case we change our mind.So this is the best time re-consider :-)",4,802,2016/10/24 18:58,2016/9/14 21:58,2016/10/7 13:01,413,MERGED,8,65,4,6,5,positive
99,Patch Set 5:Rebased in hope that hudson wakes up.Realized that it was because hudson was overwhelmed.,5,811,2016/10/25 1:46,2016/9/1 0:34,2016/10/25 1:46,0,MERGED,7,70,4,5,5,positive
105,"Patch Set 5:Ok, the icons should be moved progressively, but I am fine with them all arriving now.",5,812,2016/10/24 18:15,2016/9/22 1:04,2016/9/29 17:21,600,MERGED,12,130,3,8,6,positive
107,Patch Set 6: Code-Review+1 Verified+1Thanks!,6,812,2016/10/25 17:44,2016/9/22 1:04,2016/10/24 19:26,22,MERGED,9,128,4,13,6,positive
110,Patch Set 13: Verified+1 Code-Review+2Patchset 13 looks good to me.,13,825,2016/10/24 20:36,2016/9/14 20:35,2016/10/24 20:30,0,MERGED,17,350,2,4,14,positive
113,Patch Set 14: Code-Review+2 Verified+1Thanks Marc D. and Marc K. for your thorough reviews !,14,825,2016/10/25 11:58,2016/9/14 20:35,2016/10/25 1:43,10,MERGED,17,350,3,8,14,positive
115,Patch Set 5:(8 comments)looking good,5,825,2016/10/13 18:13,2016/9/14 20:35,2016/10/7 12:56,149,MERGED,12,316,3,5,14,positive
120,"Patch Set 1: Code-Review+2Ok, thanks for the explanation Matt.",1,834,2016/10/19 18:33,2016/10/15 9:42,2016/10/15 9:42,104,MERGED,2,4,4,7,1,positive
122,Patch Set 5:(10 comments)Excellent patch!My only comments are about names of classes and variables.I also noticed we can simplify the GdbFullCliConsolePage class.I'll post those fixes so you can tell me what you think.,5,849,2016/10/22 23:54,2016/10/3 17:16,2016/10/21 19:17,28,MERGED,5,185,2,5,6,positive
124,"Patch Set 1:You know me well ;) I did try to use Path/Files/nio at first, but this particular operation is *very* verbose with nio, DirectoryStream and whatnot and handling exceptions endlessly.Although note that FileUtils is part of Apache Commons (which was already used by this plugin, so I didn't even have to add the dependency!) and it does exactly what we want in a one-liner. It makes sense to just use that. If a future version of that lib allows using a Path directly, even better.",1,850,2016/10/13 19:04,2016/10/7 21:04,2016/10/7 21:05,141,MERGED,1,18,3,7,4,positive
125,"Patch Set 4:> I'm wondering if we should be running those jenkins builds at all.It's somewhat useful to me, as I have some private jobs that are based on that one that I can use to run tests before pushing patches to Gerrit. Also, Mac and Windows coverage, which we do not have anywhere else.With this new build property, I'll split a new column that runs just the ""unit"" tests, and another one that runs all the tests. So at least we'll be able to differentiate between ""it's completely broken"" and ""works except for the known UI test flakiness"".",4,851,2016/10/24 20:30,2016/10/8 0:02,2016/10/24 20:25,0,MERGED,8,119,1,1,4,positive
128,Patch Set 3:Thanks for the review!,3,851,2016/10/24 20:25,2016/10/8 0:02,2016/10/20 23:20,93,MERGED,8,119,4,9,4,positive
129,"Patch Set 6: Code-Review+1 Verified+1(1 comment)looks good to me, just a comment on code not from this patch, so it can be done separately.",6,852,2016/10/24 15:17,2016/10/5 17:51,2016/10/21 15:09,72,MERGED,2,62,4,8,6,positive
132,Patch Set 6:(1 comment)I like this,6,855,2016/10/21 19:30,2016/9/27 16:25,2016/10/21 19:13,0,MERGED,6,172,3,4,8,positive
133,"Patch Set 6: Code-Review-1(3 comments)I think this is getting pretty clean, not much to add to this.",6,855,2016/10/21 19:33,2016/9/27 16:25,2016/10/21 19:13,0,MERGED,6,172,3,4,8,positive
135,Patch Set 11: Code-Review+1I am OK with this. Can we get a confirmation that Mathieu Desnoyers is ok with the commit message?,11,856,2016/10/21 1:57,2016/10/4 23:56,2016/10/20 22:06,3,MERGED,4,451,5,10,12,positive
138,"Patch Set 8: Code-Review-1(2 comments)Thanks, all the tests pass now! I'll just fix the double-rounding-average problem.",8,856,2016/10/18 20:53,2016/10/4 23:56,2016/10/18 19:10,1,MERGED,4,443,3,6,12,positive
139,"Patch Set 9: Code-Review+1 Verified+1(4 comments)Except for my rant, thank you for reading, this patch looks fine.I have one last point of discussion, but any change there can be done in a separate patch, as if we move the delete Supp files to TmfTrace, we may need some unit tests and other to make sure it all still works fine.",9,856,2016/10/19 14:24,2016/10/4 23:56,2016/10/18 21:34,16,MERGED,6,472,4,11,12,positive
141,"Patch Set 4:(4 comments)Thanks for the comments, I'll wait until we get to this patch in the branch to update it.",4,856,2016/10/13 18:56,2016/10/4 23:56,2016/10/7 22:21,140,MERGED,3,287,3,8,12,positive
142,"Patch Set 10:Sure I'll wait for you review Matthew, your name is still on this ;)",10,856,2016/10/20 19:20,2016/10/4 23:56,2016/10/20 19:13,0,MERGED,6,482,3,6,12,positive
147,Patch Set 1: Code-Review+2Thanks for the review. I guess what this solves is more major than the bug this code was originally written for.,1,863,2016/10/24 16:34,2016/10/18 20:56,2016/10/18 20:56,139,MERGED,1,12,4,6,1,positive
148,"Patch Set 3:(4 comments)Looks good, with just some minor correction in installer URLs.One question:  where did you get the OS icons?  Are they provided by the OS vendors with license for use for this purpose?  I'm thinking that the Apple and Windows logos, in particular, are so accurate as to be subject to protection.",3,865,2016/10/22 1:44,2016/10/21 20:59,2016/10/21 21:22,4,MERGED,5,180,2,2,4,positive
149,"Patch Set 1: Code-Review+1 Verified+1From technical point of view, this patch is good.Doesn't break any jUnit test cases.From deprecation perspective, I'm not 100% sure how to deal with deprecations. Alex?",1,866,2016/10/19 19:29,2016/10/19 16:22,2016/10/19 16:22,3,MERGED,3,87,3,9,2,positive
150,"Patch Set 1:> From technical point of view, this patch is good. > Doesn't break any jUnit test cases. >  > From deprecation perspective, I'm not 100% sure how to deal with > deprecations. Alex?Adding Alex for Review.",1,866,2016/10/19 19:31,2016/10/19 16:22,2016/10/19 16:22,3,MERGED,3,87,3,9,2,positive
151,Patch Set 2: Code-Review+2 Verified+1There was no reply on SWT mailing list.This patch looks good to me. It's really good to get rid of old and unused code. Merging.,2,866,2016/10/24 15:18,2016/10/19 16:22,2016/10/24 15:17,0,MERGED,3,87,3,4,2,positive
154,Patch Set 1: Code-Review+2 Verified+1Thanks.,1,870,2016/10/24 13:41,2016/10/24 9:51,2016/10/24 9:51,3,MERGED,1,36,4,5,1,positive
157,"Patch Set 2: Code-Review-1Works fine :) small typos in the preference pagePreferences:  - the field is initiated with 0 when starting a fresh workspace - export the string to a property message file - Replace ""Expand All at Selection Action"" by Expand - add a tooltip to ""Expand All at Selection Action"" saying ""The expand function is available in model explorer with the + button""  - Replace ""Expand all max level (-1 for infinite)"" by ""Max level"" - add a tooltip to """"Expand all max level (-1 for infinite)"" saying ""You may use -1 to allow infinite level but it won't work on recursive model""",2,881,2016/10/20 8:49,2016/10/19 9:13,2016/10/19 9:16,23,MERGED,6,161,3,6,3,positive
160,Patch Set 1: Code-Review+2Looks Good.,1,887,2016/10/24 9:50,2016/10/24 9:03,2016/10/24 9:03,0,MERGED,3,13,3,4,1,positive
163,"Patch Set 1: Code-Review+1I like the idea. I'm not sure if we could enable this on our Gerrit servers because we run gc from a different machine to not take resources from Gerrit server but still, I like the idea of automatically running gc if loose objects exceeds a threshold.",1,898,2016/4/25 15:42,2016/4/13 12:54,2016/4/14 22:27,257,MERGED,7,236,4,8,7,positive
164,Patch Set 1:Build SUCCESSFUL. Now starting integration tests...,1,901,2015/11/4 16:39,2015/11/4 16:31,2015/11/4 16:31,0,MERGED,1,26,2,4,2,positive
169,Patch Set 2: Code-Review+1Yes I got you ! ;)I think :s,2,921,2016/10/14 14:40,2016/10/14 13:58,2016/10/14 14:29,0,MERGED,3,35,2,6,4,positive
172,Patch Set 1: Code-Review+2 Verified+1Thanks,1,934,2016/10/14 9:27,2016/10/14 9:21,2016/10/14 9:21,0,MERGED,1,18,4,5,1,positive
174,"Patch Set 1:I discussed 2 minutes ago with C├®line, she will create a job so we can test the new RCP with this fix.If that is the good fix, I would be happy for the weekend ;-)",1,935,2016/10/14 12:41,2016/10/14 12:30,2016/10/14 12:30,0,MERGED,1,6,3,6,1,positive
175,"Patch Set 1:> I discussed 2 minutes ago with C├®line, she will create a job so we > can test the new RCP with this fix. > If that is the good fix, I would be happy for the weekend ;-)Isn't it just to go ahead and merge this one in? The change is obvious and since it is not working anyway it does not harm.",1,935,2016/10/14 12:44,2016/10/14 12:30,2016/10/14 12:30,0,MERGED,1,6,3,6,1,positive
176,"Patch Set 8:> now the tests run and your new test fails.  That's progress!  :-)Yes, and now the test succeeded :)",8,940,2016/10/10 11:59,2016/10/7 17:06,2016/10/10 11:40,0,MERGED,2,47,3,7,16,positive
177,"Patch Set 8:> (1 comment):) I don't know !! I find it in my gerrit stanging view, I add it to the commit ;) I should have ignore it.",8,940,2016/10/11 14:50,2016/10/7 17:06,2016/10/10 11:40,27,MERGED,2,47,3,7,16,positive
178,"Patch Set 2:> The RCPTT build is broken, seems to deal with some wrong path :I've merged a fix for the RCPTT runner's location of the AUT, so now the tests run and your new test fails.  That's progress!  :-)",2,940,2016/10/7 21:37,2016/10/7 17:06,2016/10/7 21:30,0,MERGED,1,34,2,3,16,positive
180,"Patch Set 10:> > Okay, so it appears that, in fact, the Product build is no longer > > archiving the RCP packages that it creates.  That's a problem for > > RCPTT! >  > They are still being built, but the product ZIP filenames have > changed, so the archive configuration of the Product job needs to > be updated.  I have fixed the job configuration and will re-trigger > this Gerrit build when the new Product archives are ready.Yes I'm working on it... don't worry ... it will be back to normal soon ;)",10,940,2016/10/11 16:05,2016/10/11 15:40,2016/10/11 15:40,0,MERGED,1,38,4,8,16,positive
181,"Patch Set 10:> But, in any case, it looks like you deleted the wrong > rcptt.properties file?  That could be a hint as to why RCPTT > created another one for you that snuck into this patch:  that > somehow you have imported the RCPTT project into your workspace in > the wrong way.  Did you import the org.eclipse.papyrusrt.rcptt > project into your workspace or did you import the whole git > repository as a project?Yes. In my workspace I imported all the releng folder :) to see all projects including the org.eclipse.papyrusrt.rcptt.",10,940,2016/10/12 9:17,2016/10/11 15:40,2016/10/11 15:40,17,MERGED,1,38,4,8,16,positive
182,Patch Set 2:Build SUCCESSFUL. Now starting integration tests...,2,943,2016/10/13 17:07,2016/10/13 16:59,2016/10/13 17:02,0,MERGED,1,17,3,6,3,positive
184,"Patch Set 20:(2 comments)> Brian, any more concerns except the reparenting issue? If not I > plan to merge it end of this week, after having tested the > reparenting.I'm good; just a teeny tweak.  Thanks for tackling this!",20,944,2016/10/13 16:58,2016/10/4 15:03,2016/10/13 13:35,3,MERGED,9,379,3,4,23,positive
186,Patch Set 12:(5 comments)Looking good!  A few comments and one question.,12,944,2016/10/5 14:31,2016/10/4 15:03,2016/10/5 10:20,4,MERGED,8,365,3,5,23,positive
187,"Patch Set 21: Code-Review+2 Verified+1Thanks Brian for the help. Reparenting seems not necessary, as far as my testing show. I plan to merge this later today (Friday) after some sleep. ;-)",21,944,2016/10/14 0:39,2016/10/4 15:03,2016/10/14 0:37,0,MERGED,9,394,2,5,23,positive
191,"Patch Set 7: Code-Review-1(1 comment)I hadn't considered using an attribute ÔÇö great idea!  Could I suggest a shorter name ('inject=true/false'), as 'useDependencyInjection' is quite a mouthful and out-of-keeping with other attribute names used throughout the platform.We definitely need some tests for this too.",7,944,2016/10/4 16:53,2016/10/4 15:03,2016/10/4 16:11,0,MERGED,5,134,3,6,23,positive
192,Patch Set 2: Code-Review+2 Verified+1The code looks good and I verified it with the steps from https://bugs.eclipse.org/bugs/show_bug.cgi?id=505670#c0.How about some tests?,2,948,2016/10/12 21:45,2016/10/10 20:22,2016/10/12 21:43,0,MERGED,1,13,3,5,3,positive
195,Patch Set 2:It's also worth noting thata the new test did run successfully: https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/10709/testReport/org.eclipse.ui.tests.api/IEditorRegistryTest/,2,952,2016/9/30 12:08,2016/9/30 11:09,2016/9/30 12:04,0,MERGED,7,464,2,5,5,positive
196,Patch Set 1: Code-Review+2 Verified+1All good.,1,953,2016/10/14 8:16,2016/10/13 17:14,2016/10/13 17:14,15,MERGED,15,2672,3,3,1,positive
199,Patch Set 1: Code-Review+2 Verified+1All good.,1,956,2016/10/14 8:10,2016/10/13 16:56,2016/10/13 16:56,15,MERGED,1,320,3,3,1,positive
210,Patch Set 7:(3 comments)Looks pretty good already. Here are few minor nitpicks.,7,976,2016/10/12 17:44,2016/9/21 10:52,2016/10/12 11:58,5,MERGED,12,373,3,5,9,positive
211,Patch Set 1: Code-Review+1 Verified+1(1 comment)This looks good to me,1,983,2016/10/13 10:50,2016/10/7 22:02,2016/10/7 22:08,132,MERGED,2,47,4,7,1,positive
217,Patch Set 5: Code-Review+1JobUtils sounds good,5,1012,2016/10/6 20:56,2016/9/19 5:27,2016/10/6 19:54,1,MERGED,5,173,5,13,6,positive
218,"Patch Set 3: Code-Review-1(4 comments)Very nice initiative! This should give much more information in logs.Few small things. Also I wonder about the name RuntimeUtils, since it's specific to Jobs (Eclipse things), shouldn't it be called something like PlatformUtils? ""Runtime"" refers more to the JRE to me.",3,1012,2016/10/6 17:01,2016/9/19 5:27,2016/10/4 4:24,60,MERGED,5,167,5,14,6,positive
219,"Patch Set 3:> (4 comments) >  > Very nice initiative! This should give much more information in > logs. >  > Few small things. Also I wonder about the name RuntimeUtils, since > it's specific to Jobs (Eclipse things), shouldn't it be called > something like PlatformUtils? ""Runtime"" refers more to the JRE to > me.And Platform refers to many many things in Eclipse. So maybe I'll just call it JobUtils?",3,1012,2016/10/6 19:32,2016/9/19 5:27,2016/10/4 4:24,63,MERGED,5,167,5,14,6,positive
224,"Patch Set 5: Code-Review+1I haven't tried it, but it looks good to me.",5,1017,2016/10/6 21:12,2016/10/6 21:04,2016/10/6 21:06,0,MERGED,2,14,4,6,5,positive
225,Patch Set 1: Code-Review-1(3 comments)Thanks for fixing this. But I think it should throw an exception instead of simply returning the old backend.,1,1020,2016/9/29 14:23,2016/9/22 16:16,2016/9/26 15:31,70,MERGED,1,6,3,8,3,positive
229,"Patch Set 5: Code-Review+1Ok, now should be good to go.",5,1029,2016/10/6 18:22,2016/9/22 18:48,2016/10/6 18:21,0,MERGED,5,78,4,9,5,positive
232,"Patch Set 2: Code-Review+1Hello, Thank you for your feedback. Please see my replies.~ Ready for next round of reviews.Let me know.",2,1029,2016/9/26 21:35,2016/9/22 18:48,2016/9/26 21:34,0,MERGED,6,37,3,7,5,positive
240,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Codegen/32/ : SUCCESShttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Common/41/ : UNSTABLEhttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Core/104/ : SUCCESShttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Cpp/49/ : SUCCESShttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Migration/36/ : SUCCESShttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Profile/36/ : SUCCESShttps://hudson.eclipse.org/papyrus-rt/job/Papyrus-RT-Gerrit-Tooling/132/ : SUCCESS,2,1038,2016/10/6 14:11,2016/10/6 12:53,2016/10/6 13:48,0,MERGED,10,28,3,12,4,positive
242,"Patch Set 1:Unstable tests don't seem to be related there, so that's 2 successful runs so far for this change.",1,1048,2016/10/6 10:38,2016/10/6 8:04,2016/10/6 8:04,2,MERGED,1,6,3,19,2,positive
243,"Patch Set 3:Could you explain the steps to maintain this , either through a video, a gif or some printscreen. That could be useful ;)Thanks",3,1050,2016/10/6 12:32,2016/10/5 16:10,2016/10/5 17:26,19,MERGED,41,1686,3,16,4,positive
244,"Patch Set 3:> Could you explain the steps to maintain this , either through a > video, a gif or some printscreen. That could be useful ;) >  > ThanksDo you mean, more than what I explain in the README.txt file that I added in this patch?",3,1050,2016/10/6 12:36,2016/10/5 16:10,2016/10/5 17:26,19,MERGED,41,1686,3,16,4,positive
245,"Patch Set 3:I meant a visual example... you know people like images , lol;)But you're explaination in ReadME is clear enough !",3,1050,2016/10/6 13:01,2016/10/5 16:10,2016/10/5 17:26,19,MERGED,41,1686,3,16,4,positive
253,"Patch Set 4: Code-Review+1I've tested the latest patch-set, and it looks really nice! The refresh also works when toggling port kind and changing between replicated/non-replicated. The shadow looks and behaves as in legacy tooling. I cannot see any of the refresh issues mentioned in the Bugzilla, e.g. related to the diagram assistant handles on capsule parts (now when the shadow is on the ""inside""). The only thing now that is lacking is the stacking pattern for ports on capsule parts (which is tracked by a separate Bugzilla anyway).",4,1061,2016/10/6 13:15,2016/10/6 8:48,2016/10/6 12:53,0,MERGED,6,157,4,5,4,positive
254,"Patch Set 6:(1 comment)See my remark regarding OCL. Otherwise, looks good.",6,1065,2016/10/6 11:56,2016/8/12 13:44,2016/10/6 11:34,0,MERGED,5,798,3,7,7,positive
255,Patch Set 5: Code-Review+1Enfin!,5,1065,2016/10/6 11:34,2016/8/12 13:44,2016/10/6 11:24,0,MERGED,4,790,2,9,7,positive
258,"Patch Set 6: Code-Review+2 Verified+1Thanks, code looks good. I now test it.",6,1079,2016/10/6 10:11,2016/9/30 10:49,2016/10/6 10:09,0,MERGED,8,284,3,6,7,positive
263,"Patch Set 4: Code-Review+2 Verified+1Thanks, Stefan. Looks good to me!The group extender only causes problems when running in combination with the group extender Alex added in change 76498. I asked Alex to have a look at this. I'll wait for her feedback, if it's hard to fix. If yes, I'll rebase this change on master and merge it in the meantime.",4,1099,2016/8/10 10:17,2016/7/6 10:31,2016/8/10 9:49,0,MERGED,6,433,2,4,7,positive
268,"Patch Set 3: Code-Review+2 Verified+1Code change looks good, verified the patch on Win7 and Ubuntu16.",3,1127,2016/9/28 13:09,2016/9/25 21:44,2016/9/28 10:59,2,MERGED,1,2,4,8,3,positive
276,"Patch Set 1:> Not sure what to expect, not being merged, but I quickly tested > this, and case 1 and 3 that Adam has enumerated seem to have been > fixed at least. But case 2 seem to cause p1 to be overwritten by p2 > (at least what you can see in the model explorer).Interesting.  I'm not seeing that.  I just get p2 inserted ahead of p1 in the containing Protocols package, which I think is what one would expect.Perhaps I'm not quite doing the right gesture, but it is difficult to interpret a still image capture.  Words describing steps to reproduce, or else a video capture, would be more helpful.",1,1180,2016/9/27 14:02,2016/9/26 22:16,2016/9/26 22:27,15,MERGED,3,195,3,7,2,positive
287,"Patch Set 2:> (1 comment) >  > > The nesting project structure of the releng directory tree is >  > I don't know who added the nesting structure. >  > > confusing.  Are we supposed to import only the top-level releng/ > > folder into the workspace as a project, or the individual nested > > folders within it? >  > Whomever made these projects might have an answer, but as far as I > can tell, you can just import the top-level project. That seems to > work for me. In fact, I see only one .project in these. The others > seem to be sub-folders with POMs and TPs. In the case of the > top-level project, I see subfolders for some of the components > (codegen, tooling, core) and a few others (releng, rt.included?, > *releases, *nightly, *milestones). I don't know if there is a need > or reason for a fully qualified name for those, but I'll let that > be answered by whomever is working on these (C├®line, I assume?) >  > >The actual formulation of these include URIs > > depends in any case (whether relative or absolute > platform:/resource > > URIs) on how the projects are imported.  I would be much happier > if > > we could just eliminate the confusion by not using nested > projects > > at all so that everybody imports the projects in the same way and > > the include references work for everybody.The initial project was the releng folder. You can import only the top level of the releng. But once the Bug 500287 will be merged, the codegen TP's will be into the Target platform folders at the root . It has been decided with the CEA (patrick TESSIER) to keep a root project. And let the possibility to the user to import the entire root project or only the nested ones.",2,1186,2016/9/23 8:27,2016/9/21 18:02,2016/9/21 19:48,36,MERGED,6,27,4,17,3,positive
290,"Patch Set 21:> (6 comments) >  > Looks good to me, but I would prefer if you could avoid using an > activator. In the past, we had activators slowing done the > platform. >  > The .project editor extension could IMHO be contributed to once > this has been merged to the text repository.Thanks a lot for taking the time Lars. I will quickly handle the non-activator changes right now and investigate what can be done about replacing the activator.",21,1197,2016/8/15 12:08,2016/6/22 13:25,2016/8/15 12:07,0,MERGED,51,2791,2,3,35,positive
