ID,text,patchSetNum,changeId,orderTime,createTime,commitTime,timeDiff,reviewStatus,fileNum,churn,authorNum,comments,patchsetCounts,Overall
31,Patch Set 8: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6607/ : UNSTABLE,8,689,2016/11/14 16:30,2016/11/2 21:31,2016/11/14 15:18,1,MERGED,16,973,3,6,13,negative
34,Patch Set 4: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6559/ : UNSTABLE,4,689,2016/11/9 0:24,2016/11/2 21:31,2016/11/8 22:00,2,MERGED,7,363,2,4,13,negative
35,Patch Set 9: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6609/ : UNSTABLE,9,689,2016/11/14 22:20,2016/11/2 21:31,2016/11/14 21:02,1,MERGED,15,927,2,4,13,negative
36,Patch Set 10: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6619/ : UNSTABLE,10,689,2016/11/15 7:20,2016/11/2 21:31,2016/11/15 4:35,2,MERGED,16,788,2,4,13,negative
37,Patch Set 11: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6622/ : UNSTABLE,11,689,2016/11/15 15:29,2016/11/2 21:31,2016/11/15 13:51,1,MERGED,16,805,3,4,13,negative
38,Patch Set 4:I think this is a serious concern.  I hadn't thought of it before.We should look at how the platform console does this.  You can clone the platform console view and each new console will be filled with all the text.  Our TracingConsole class (gdb traces) does this by extending IOConsole.  How do they do this efficiently.  I think they use some kinds of scheme using a document.,4,697,2016/10/26 17:05,2016/10/4 2:01,2016/10/26 4:02,13,MERGED,2,367,3,7,11,negative
39,Patch Set 9: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6614/ : UNSTABLE,9,697,2016/11/15 4:24,2016/10/4 2:01,2016/11/14 16:35,11,MERGED,2,431,3,7,11,negative
41,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6232/ : UNSTABLE,1,697,2016/10/6 21:53,2016/10/4 2:01,2016/10/6 20:38,1,MERGED,2,268,2,4,11,negative
42,Patch Set 8: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6603/ : UNSTABLE,8,697,2016/11/14 6:15,2016/10/4 2:01,2016/11/14 3:25,2,MERGED,2,427,3,6,11,negative
44,Patch Set 2: Code-Review+2I am so ashamed for this bug... Nice catch and fix.,2,707,2016/11/4 19:15,2016/11/4 10:49,2016/11/4 15:48,3,MERGED,1,2,4,5,2,negative
45,Patch Set 4:sorry about the last two patches I tried something out of desperation but without my brain switched on...,4,725,2016/11/2 19:47,2016/11/2 16:23,2016/11/2 19:46,0,MERGED,1,5,2,5,6,negative
46,Patch Set 5: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6414/ : UNSTABLE,5,726,2016/10/26 16:59,2016/10/17 15:10,2016/10/26 15:45,1,MERGED,5,130,3,6,7,negative
48,Patch Set 7: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6512/ : UNSTABLE,7,726,2016/11/4 11:29,2016/10/17 15:10,2016/11/4 10:21,1,MERGED,5,130,4,8,7,negative
49,Patch Set 7:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6519/ : UNSTABLE,7,726,2016/11/4 15:25,2016/10/17 15:10,2016/11/4 10:21,5,MERGED,5,130,4,8,7,negative
50,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6359/ : UNSTABLE,1,726,2016/10/18 21:58,2016/10/17 15:10,2016/10/18 20:43,1,MERGED,4,113,3,5,7,negative
51,"Patch Set 1: Code-Review-2> This patch was just created to share information, but one key item > missing from the patch is that it does not change the default value > of the preference IGdbDebugPreferenceConstants.PREF_TRACES_ENABLE > in GdbPreferenceInitializer.Woops, that is actually a over-site on my part.  In my testing, I turn on and off and forgot to set the initializer!  Thanks for noticing.",1,726,2016/10/19 13:55,2016/10/17 15:10,2016/10/18 20:43,17,MERGED,4,113,3,5,7,negative
52,Patch Set 6: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6506/ : UNSTABLE,6,726,2016/11/3 21:22,2016/10/17 15:10,2016/11/3 20:14,1,MERGED,5,130,2,3,7,negative
53,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/egit/job/egit.gerrit/9257/ : UNSTABLE,2,731,2016/11/4 14:29,2016/11/4 11:05,2016/11/4 14:05,0,MERGED,1,6,4,7,2,negative
57,Patch Set 4: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6518/ : UNSTABLE,4,732,2016/11/4 14:44,2016/8/5 13:09,2016/11/4 13:35,1,MERGED,2,10,3,5,6,negative
61,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-docs/855/ : UNSTABLE,2,733,2016/7/11 22:41,2016/7/8 8:40,2016/7/11 22:32,0,MERGED,9,496,4,10,10,negative
68,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6443/ : UNSTABLE,1,754,2016/10/28 8:40,2016/10/28 7:23,2016/10/28 7:23,1,MERGED,2,55,2,4,2,negative
69,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6442/ : UNSTABLE,2,755,2016/10/28 8:40,2016/10/27 5:12,2016/10/28 1:08,7,MERGED,2,21,2,5,3,negative
71,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/scout/job/org.eclipse.scout.rt_5_2_and_higher_gerrit/1203/ : UNSTABLE,3,759,2016/11/4 9:04,2016/10/19 11:45,2016/11/4 8:57,0,MERGED,93,5399,3,7,3,negative
75,"Patch Set 1:I see two issues with your patch. The first one is a blocker: You can't remove API because we don't plan for a major release.The other issue is that I don't like your ""pessimistic fall-back"" apporach to determine the absolute path of the file. What if the file exists in both possible locations? I imagine a more deterministic approach would be the introduction of a special syntax for config-folder-relative paths, for example ""@config/..."".",1,762,2016/10/18 16:04,2016/10/14 10:06,2016/10/14 10:14,101,MERGED,3,65,3,4,6,negative
77,"Patch Set 4:Something is wrong with this review. Not sure what the status ""Not Current"" tells me. I can't do anything with it, so I cherry-picked it locally and will push it directly.",4,762,2016/11/4 6:05,2016/10/26 13:38,2016/11/2 10:36,43,MERGED,6,137,3,7,6,negative
82,"Patch Set 10:After opening a few reviews, open compare editor, switch side the patchset: ps2/ps3 ps3/ps2 workspace/ps10 ..., when I closed all the editors, I got the following:!ENTRY org.eclipse.ui 2 2 2016-11-03 07:37:58.344!MESSAGE Ignored attempt to remove a saveable that was not registered!STACK 0org.eclipse.core.runtime.AssertionFailedException: unknown saveable: org.eclipse.team.ui.synchronize.SaveableCompareEditorInput$InternalResourceSaveableComparison@39c61f65 from part: org.eclipse.compare.internal.CompareEditor@22251bb2	at org.eclipse.ui.internal.SaveablesList.logWarning(SaveablesList.java:190)	at org.eclipse.ui.internal.SaveablesList.removeModel(SaveablesList.java:178)	at org.eclipse.ui.internal.SaveablesList.postClose(SaveablesList.java:703)	at org.eclipse.ui.internal.WorkbenchPage.firePartClosed(WorkbenchPage.java:5119)	at org.eclipse.ui.internal.e4.compatibility.CompatibilityPart$1.handleEvent(CompatibilityPart.java:103)	at org.eclipse.e4.ui.services.internal.events.UIEventHandler$1.run(UIEventHandler.java:40)	at org.eclipse.swt.widgets.Synchronizer.syncExec(Synchronizer.java:233)	at org.eclipse.ui.internal.UISynchronizer.syncExec(UISynchronizer.java:145)	at org.eclipse.swt.widgets.Display.syncExec(Display.java:5406)",10,769,2016/11/3 11:41,2016/10/28 13:32,2016/11/2 22:04,13,MERGED,17,532,2,4,12,negative
84,"Patch Set 2:> This will have the error message, but will help debug hudson > instability. Let's do this. >  > Works locally.You don't think it's too much extra output? This made me hesitant.",2,773,2016/11/3 18:49,2016/10/24 17:47,2016/10/24 19:59,238,MERGED,1,1,4,6,2,negative
88,"Patch Set 1:Weird, https://hudson.eclipse.org/orbit/ is down ?",1,788,2016/11/2 20:41,2016/9/7 20:31,2016/11/2 20:14,0,MERGED,59,89,2,4,4,negative
89,"Patch Set 1:I was wrong the code works fine. My bad. But If I use the code from CustomizableDelegatingItemLabelProvider, I introduce uml dependancies  to infra",1,791,2016/10/26 8:16,2016/10/25 15:27,2016/10/25 15:27,16,MERGED,1,17,3,6,3,negative
91,Patch Set 1: Verified+1@Philip: Can I merge this one?Verified by https://hudson.eclipse.org/papyrus/view/InformationModeling/job/papyrus-informationmodeling-gerrit/55/(HIPP seems to forget to report :( ),1,797,2016/11/3 12:41,2016/10/27 15:07,2016/10/27 15:07,165,MERGED,2,69,3,5,1,negative
93,Patch Set 3: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6166/ : UNSTABLE,3,802,2016/9/21 22:42,2016/9/14 21:58,2016/9/21 20:51,1,MERGED,8,65,2,3,5,negative
94,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6125/ : UNSTABLE,2,802,2016/9/19 16:04,2016/9/14 21:58,2016/9/19 14:34,1,MERGED,8,65,1,2,5,negative
95,Patch Set 4: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6247/ : UNSTABLE,4,802,2016/10/7 14:35,2016/9/14 21:58,2016/10/7 13:01,1,MERGED,8,65,4,6,5,negative
98,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6064/ : UNSTABLE,1,802,2016/9/14 23:01,2016/9/14 21:58,2016/9/14 21:58,1,MERGED,8,65,2,4,5,negative
106,Patch Set 5:What's the head that you are running to get those exceptions? I cannot reproduce. And what column/view are you clicking?,5,812,2016/10/24 19:25,2016/9/22 1:04,2016/9/29 17:21,602,MERGED,12,130,3,8,6,negative
109,Patch Set 7: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6323/ : UNSTABLE,7,825,2016/10/13 20:54,2016/9/14 20:35,2016/10/13 18:21,2,MERGED,13,319,2,3,14,negative
111,Patch Set 13: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6391/ : UNSTABLE,13,825,2016/10/24 21:39,2016/9/14 20:35,2016/10/24 20:30,1,MERGED,17,350,2,4,14,negative
112,Patch Set 14: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6392/ : UNSTABLE,14,825,2016/10/25 3:06,2016/9/14 20:35,2016/10/25 1:43,1,MERGED,17,350,3,8,14,negative
114,Patch Set 5: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6248/ : UNSTABLE,5,825,2016/10/7 14:35,2016/9/14 20:35,2016/10/7 12:56,1,MERGED,12,316,3,5,14,negative
116,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6063/ : UNSTABLE,2,825,2016/9/14 22:28,2016/9/14 20:35,2016/9/14 21:28,0,MERGED,8,184,2,4,14,negative
117,Patch Set 3: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6124/ : UNSTABLE,3,825,2016/9/19 15:48,2016/9/14 20:35,2016/9/19 14:25,1,MERGED,12,315,2,4,14,negative
118,Patch Set 11: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6376/ : UNSTABLE,11,825,2016/10/21 3:57,2016/9/14 20:35,2016/10/21 2:51,1,MERGED,17,347,2,3,14,negative
119,Patch Set 9: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6370/ : UNSTABLE,9,825,2016/10/20 19:52,2016/9/14 20:35,2016/10/20 18:20,1,MERGED,13,319,3,6,14,negative
123,Patch Set 3: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6250/ : UNSTABLE,3,849,2016/10/7 15:50,2016/10/3 17:16,2016/10/7 13:12,2,MERGED,5,185,2,3,6,negative
127,"Patch Set 3:> We haven't add a successful TC build in weeks. If at least we can > get *some* of the rows showing green, this can give some baseline > that we can use for testing our patches against. Right now our > Trace Compass job is honestly just burning CPU cycles for nothing.I'm wondering if we should be running those jenkins builds at all. We don't seem to have the manpower available to take care of maintaining them. Sometimes I look at them on a rainy Saturday. It's somewhat interesting to me as additional data points, but that's about it.",3,851,2016/10/24 19:23,2016/10/8 0:02,2016/10/20 23:20,92,MERGED,8,119,4,9,4,negative
137,"Patch Set 11:Ugh, gerrit comments.I was trying to quote Mathieu there btw not repeat the same line n times.",11,856,2016/10/21 13:46,2016/10/4 23:56,2016/10/20 22:06,15,MERGED,4,451,5,10,12,negative
140,"Patch Set 6: Code-Review-1(1 comment)19 out of 20 tests failed because I was lazy and didn't even run them knowing it would fail, but one, the first failure is legit and due to this patch, or at least this patch should make sure it passes.",6,856,2016/10/18 0:28,2016/10/4 23:56,2016/10/17 20:56,3,MERGED,3,289,3,5,12,negative
143,Patch Set 10: Code-Review-1(7 comments)It is not justifyable IMO to add to common core something so specific,10,856,2016/10/20 21:14,2016/10/4 23:56,2016/10/20 19:13,2,MERGED,6,482,3,6,12,negative
144,"Patch Set 10:(5 comments)The stream-related utility method in StreamUtils seems to trigger everyone for some reason, so I'll keep the code in TmfExperiment.> The clocks may also be sampled using different techniques. See Mathieu D for detailsI see this comment on the top page, but not in the Commit Message one. Weird? What should be reworded/added?",10,856,2016/10/20 22:08,2016/10/4 23:56,2016/10/20 19:13,2,MERGED,6,482,3,6,12,negative
145,"Patch Set 7:I've tested the latest patch-set, and the new feature org.eclipse.emf.compare.rcp.ui.feature.group gets installed as expecred. Still we get the wrong EGit/EMF Compare stuff due to the too old contents in the integration repos. But this is a known issue and let's wait for the integration repos to be updated.",7,859,2016/10/20 13:48,2016/10/16 12:00,2016/10/20 12:41,1,MERGED,1,99,2,2,9,negative
153,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/rcptt/job/rcptt-all-gerrit/1177/ : UNSTABLE,1,870,2016/10/24 13:18,2016/10/24 9:51,2016/10/24 9:51,3,MERGED,1,36,4,5,1,negative
158,Patch Set 2:ahh! I forgot to add niitialzer in extension point. Will done that ASAP.Ok for text changes.,2,881,2016/10/21 9:15,2016/10/19 9:13,2016/10/19 9:16,47,MERGED,6,161,3,6,3,negative
162,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6324/ : UNSTABLE,1,895,2016/10/13 20:57,2016/10/13 4:47,2016/10/13 19:24,1,MERGED,9,256,2,3,3,negative
166,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6341/ : UNSTABLE,1,909,2016/10/14 18:26,2016/10/14 15:28,2016/10/14 15:28,2,MERGED,1,10,3,10,1,negative
167,Patch Set 1: Verified+1Not sure why the test failed. Hard to see how it's related and I need to get this fix in ASAP.,1,909,2016/10/14 18:46,2016/10/14 15:28,2016/10/14 15:28,3,MERGED,1,10,3,10,1,negative
168,Patch Set 5: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6337/ : UNSTABLE,5,914,2016/10/14 15:07,2016/10/13 16:14,2016/10/14 13:56,1,MERGED,5,285,3,6,5,negative
173,Patch Set 1:Build Unstable https://hudson.eclipse.org/rcptt/job/rcptt-all-gerrit/1175/ : UNSTABLE,1,934,2016/10/14 12:57,2016/10/14 9:21,2016/10/14 9:21,3,MERGED,1,18,4,5,1,negative
179,"Patch Set 10:Okay, so it appears that, in fact, the Product build is no longer archiving the RCP packages that it creates.  That's a problem for RCPTT!",10,940,2016/10/11 15:46,2016/10/11 15:40,2016/10/11 15:40,0,MERGED,1,38,4,8,16,negative
185,Patch Set 10: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/10781/ : UNSTABLE,10,944,2016/10/5 8:29,2016/10/4 15:03,2016/10/5 7:51,0,MERGED,5,134,2,3,23,negative
188,Patch Set 4: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/10771/ : UNSTABLE,4,944,2016/10/4 16:36,2016/10/4 15:03,2016/10/4 15:12,1,MERGED,2,103,2,5,23,negative
189,Patch Set 11: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/10785/ : UNSTABLE,11,944,2016/10/5 9:02,2016/10/4 15:03,2016/10/5 8:24,0,MERGED,5,134,2,3,23,negative
190,Patch Set 7: Code-Review-1Build Unstable https://hudson.eclipse.org/platform/job/eclipse.platform.ui-Gerrit/10775/ : UNSTABLE,7,944,2016/10/4 16:47,2016/10/4 15:03,2016/10/4 16:11,0,MERGED,5,134,3,6,23,negative
193,"Patch Set 2:> How about some tests?That would be nice, but I don't have the time and energy for that.There's an inactive test suite org.eclipse.core.tests.net.SystemProxyTest, but all its tests are failing (at least on Linux). The code that prepends the ""http://"" is trivial, and if we need a test for that, then the project is doomed anyway.",2,948,2016/10/13 10:39,2016/10/10 20:22,2016/10/12 21:43,12,MERGED,1,13,3,5,3,negative
194,"Patch Set 3: Code-Review+2 Verified+1> > How about some tests? >  > That would be nice, but I don't have the time and energy for that. >  > There's an inactive test suite org.eclipse.core.tests.net.SystemProxyTest, > but all its tests are failing (at least on Linux). The code that > prepends the ""http://"" is trivial, and if we need a test for that, > then the project is doomed anyway.Fair enough!",3,948,2016/10/14 8:45,2016/10/10 20:22,2016/10/14 8:44,0,MERGED,1,13,3,4,3,negative
201,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/egit/job/egit.gerrit/9141/ : UNSTABLE,2,961,2016/10/13 22:22,2016/10/2 20:51,2016/10/13 21:45,0,MERGED,4,137,2,8,3,negative
202,Patch Set 2: Code-Review-1Build Unstable https://hudson.eclipse.org/egit/job/egit.gerrit/9142/ : UNSTABLE,2,961,2016/10/13 22:55,2016/10/2 20:51,2016/10/13 21:45,1,MERGED,4,137,2,8,3,negative
203,Patch Set 3: Code-Review-1Build Unstable https://hudson.eclipse.org/egit/job/egit.gerrit/9144/ : UNSTABLE,3,961,2016/10/14 6:11,2016/10/2 20:51,2016/10/14 5:46,0,MERGED,4,117,4,9,3,negative
204,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6333/ : UNSTABLE,2,966,2016/10/14 4:53,2016/10/14 0:49,2016/10/14 1:09,3,MERGED,3,88,3,9,2,negative
205,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6329/ : UNSTABLE,1,969,2016/10/14 0:36,2016/10/13 23:24,2016/10/13 23:24,1,MERGED,1,49,3,7,1,negative
206,"Patch Set 1: Code-Review+2 Verified+1Thanks for the contribution, Fred!  Even paying attention to copyright statements.This change certainly cuts neatly through a bunch of unnecessary and wonky code.  I was going to complain that changing the APIs in the UI classes from working with URIs to working with IResources results in a loss of generality, so that it would be more difficult to support exporting diagrams to the host filesystem (which is desperately needed, IMO) or other destinations, and that IResource is not even as appropriate a type as IContainer, but then I observed that the entire export infrastructure beneath the UI is all pinned to the IResource contract, anyways.  That, combined with the fact that any clients trying to use these UI bits would have had to construct nonsense URIs, means that I don't mind that this technically is an API-breaking change because that API was already non-functional and it will have to break again some time anyways to support exporting to non-workspace destinations.  Besides that none of these UI classes should ever have been exposed as API to begin with.All of which is to say thanks for working through the contribution process and do come back for more.",1,970,2016/10/14 0:26,2016/10/13 21:08,2016/10/13 21:08,3,MERGED,5,118,4,5,1,negative
207,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6299/ : UNSTABLE,1,971,2016/10/12 4:59,2016/10/12 3:29,2016/10/12 3:37,1,MERGED,37,1208,2,3,3,negative
208,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6309/ : UNSTABLE,2,971,2016/10/13 4:15,2016/10/12 3:29,2016/10/13 3:03,1,MERGED,44,1291,2,4,3,negative
212,Patch Set 2:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6244/ : UNSTABLE,2,1005,2016/10/7 6:00,2016/9/23 5:42,2016/10/7 2:47,3,MERGED,10,174,3,5,2,negative
213,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6181/ : UNSTABLE,1,1006,2016/9/23 8:33,2016/9/23 5:52,2016/9/23 6:02,2,MERGED,11,76,3,4,2,negative
214,Patch Set 2:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6243/ : UNSTABLE,2,1006,2016/10/7 5:59,2016/9/23 5:52,2016/10/7 2:48,3,MERGED,11,78,3,5,2,negative
215,Patch Set 2:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6241/ : UNSTABLE,2,1009,2016/10/7 4:32,2016/9/23 5:37,2016/10/7 2:46,1,MERGED,1,1,3,5,2,negative
220,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6235/ : UNSTABLE,2,1013,2016/10/6 23:11,2016/10/6 22:00,2016/10/6 22:02,1,MERGED,1,977,3,7,2,negative
221,Patch Set 2:Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6240/ : UNSTABLE,2,1013,2016/10/7 2:01,2016/10/6 22:00,2016/10/6 22:02,3,MERGED,1,977,3,7,2,negative
222,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6200/ : UNSTABLE,1,1014,2016/10/1 22:18,2016/10/1 21:14,2016/10/1 21:15,1,MERGED,2,9,2,7,2,negative
223,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6201/ : UNSTABLE,1,1014,2016/10/1 23:23,2016/10/1 21:14,2016/10/1 21:15,2,MERGED,2,9,2,7,2,negative
227,Patch Set 1: Code-Review-1Build Unstable https://hudson.eclipse.org/mylyn/job/gerrit-mylyn-commons/393/ : UNSTABLE,1,1021,2016/10/6 20:42,2016/10/6 20:37,2016/10/6 20:37,0,MERGED,82,248,3,6,1,negative
235,Patch Set 2: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6219/ : UNSTABLE,2,1031,2016/10/5 23:22,2016/10/5 21:17,2016/10/5 22:24,0,MERGED,2,13,4,7,2,negative
236,Patch Set 1: Verified-1Build Unstable https://hudson.eclipse.org/cdt/job/cdt-verify/6226/ : UNSTABLE,1,1031,2016/10/6 4:23,2016/10/5 21:17,2016/10/5 21:29,6,MERGED,1,9,3,10,2,negative
